CodMat,Descri,CosMat
MAT0476,"BISAGRA GALV. P/PORTON CERCA MALLA CICLON 1-1/2""",96.11646153846154
MAT2920,"TUBO GALV.CALIENTE D= 2"", L=6.60m (CERCAS) e=1.10 mm",89.06723076923076
MAT1168,"CURVA E.M.T. D=1""",25.869076923076925
MAT2757,"TUBERIA EMT D=1"" L= 3.00 m",19.573076923076922
MAT0362,"ANILLO E.M.T. D=1""",7.691846153846154
MAT0640,CABLE TW # 6 AWG/MCM (THHN 90° C 600 V),53.718923076923076
MAT0636,CABLE TW # 12 AWG/MCM (THHN 90° C 600 V),17.187846153846156
MAT0687,"CAJETIN RECTAN. 4x2"" HUECOS 1/2""o 3/4""",41.810769230769225
MAT0994,"CONECTOR E.M.T. D=1""",6.788461538461538
MAT0684,"CAJETIN CUADRADO DE 5""x5""(HUECO 1"")",40.178000000000004
MAT1688,"LLAVE DE COMPUERTA D=3/4""",171.19415384615385
MAT2487,"TEE H.G. D=3/4""",10.343076923076922
MAT2575,TEFLON (ROLLO 1/2 x 12 m),8.987230769230768
MAT2947,"TUBO H.G. ISO D=3/4"" L= 6.40 m",23.96153846153846
MAT0369,"ANILLO H.G. D= 3/4""",6.582
MAT0905,"CODO H.G. 90° D=3/4""",8.776000000000002
MAT3012,"TUBO PVC AN NORMAL 4"" L= 3.00 m",15.439538461538461
MAT3206,"YEE PVC P/AGUAS NEGRAS D=4""",15.64276923076923
MAT0914,"CODO PVC AGUAS NEGRAS 45° D=4""",8.317846153846153
MAT1918,PEGAMENTO P/TUBOS PVC TANGIT ENVASE 950 ml,40.11492307692308
MAT1663,LIMPIADOR DE TUBOS PVC TANGIT PAVCO,25.12876923076923
MAT1246,"DISCO ABRASIVO PARA ESMERIL 7""",124.4336923076923
MAT0128,ACETILENO INDUSTRIAL (CILINDRO DE Cap= 6 kgf),207.5106153846154
MAT1866,OXIGENO INDUSTRIAL (CILINDRO DE Cap= 6 kgf),135.34507692307693
MAT1334,ENERGIA Y GASES 2,0.044307692307692305
MAT0797,"CLAVOS DE 4"" CAL.8 caja= 25 Kgf",23.95184615384615
MAT1746,MADERA TABLERO D/AURORA/CHAPA FINA/DIM=1.62X2.20m,7378.782307692308
MAT0405,ARENA LAVADA (INCLUYE CARGA Y LOGISTICA),208.49984615384616
MAT1985,PIEDRA PICADA (INCLUYE CARGA Y LOGISTICA),208.49984615384616
MAT1338,ENSAYO CILIND/CONCR/COMPR/INCLUY/MOL.TOM/MUEST/1-10 CIL,5.384615384615385
MAT0958,"CONCRETO PREMEZCLADO f´c = 200 Kgf/cm2 NORMAL As=5""",554.6916923076923
MAT0471,BENTONITA SACO 50 Kgf. (BENTONIL - FRANCESA),1681.8953846153845
MAT0496,BLOQUE PLATABANDA ARCILLA 15x20x40 cm. 8 P/m2 P= 5.2Kgf,3.5772307692307694
MAT0497,BLOQUE PLATABANDA ARCILLA 20x20x40 cm. 8 P/m2 P= 7.8Kgf,4.262923076923077
MAT0498,BLOQUE PLATABANDA ARCILLA 25x20x40 cm. 8 P/m2 P= 10Kgf,4.375846153846154
MAT0499,BLOQUE PLATABANDA ARCILLA 30x20x40 8P/m2 P=14 Kgf,5.229846153846154
MAT2228,REM-9034 TRANS.EN CAMION.CEMENTO DISTANCIAS HASTA 50KM,0.19061538461538463
MAT0511,BLOQUE TABELON ARCILLA 6 x 20 x 60 cm 9 Pza/m2,4.224615384615385
MAT1948,"PERFIL IPN 80 L = 12 m ( 6,10 Kgf/m)",17.841846153846156
MAT1750,"MALLA ELECTROSOLDADA 5""x 5""R=120 m2/Aprox.1.66 Kgf/m2",16.982615384615382
MAT0513,"BLOQUE TABELON ARCILLA 6 x 20 x 80 cm 6,25 Pza/m2",4.294769230769231
MAT0515,BLOQUE TABELON ARCILLA 8 x 20 x 60 cm 9 Pza/m2,4.498923076923077
MAT1949,"PERFIL IPN 100 L = 12 m ( 8,42 Kgf/m)",21.446461538461538
MAT0517,"BLOQUE TABELON ARCILLA 8 x 20 x 80 cm 6,25 Pza/m2",4.621538461538461
MAT1738,MADERA EN VIGUETAS P/ARRIOSTRAR LARGO= 3.00 m,113.98015384615384
MAT0500,BLOQUE PLATABANDA CONCRETO ALIG.10X20X60cm 9P/m2 C/PEST,4.814461538461538
MAT2237,"REM-9046 CONST.NERV.PREF.UTIL.CERCHA 10cm,200 KGF/CM2",62.93353846153846
MAT2238,"REM-9047 CONST.NERV.PREF.UTIL.CERCHA 10cm,250 KGF/CM2",63.02215384615384
MAT0480,BLOQ. PLATABANDA CONCRETO ALIG.15X20X40cm 13P/m2 C/PEST,3.2236923076923074
MAT2239,"REM-9048 CONST.NERV.PREF.UTIL.CERCHA 15cm,200 KGF/CM2",71.09015384615384
MAT2240,"REM-9049 CONST.NERV.PREF.UTIL.CERCHA 15cm,250 KGF/CM2",71.17876923076923
MAT0481,BLOQ. PLATABANDA CONCRETO ALIG.20X20X40cm 13P/m2 C/PEST,4.037384615384616
MAT2241,"REM-9050 CONST.NERV.PREF.UTIL.CERCHA 20cm,200 KGF/CM2",93.17307692307692
MAT2242,"REM-9051 CONST.NERV.PREF.UTIL.CERCHA 20cm,250 KGF/CM2",93.26169230769231
MAT1745,MADERA TABLA/SAQUI-SAQUI/SIN CEPILLAR/NI ESCOGER MED.,7997.669230769231
MAT1740,"MADERA TABLA D/SAQUI-SAQUI,CEPILLADA",8325.136615384616
MAT0264,ALAMBRON D=5.20mm (TRIPA DE POLLO) P=0.167Kgf/m L=6m,25.59353846153846
MAT0581,"CABILLA D=3/8"" Fy=4200Kgf/cm2 L=12m P=0,559Kgf/m",19.278153846153845
MAT0579,"CABILLA D=1/2"" Fy=4200Kgf/cm2 L=12m P=0,994Kgf/m",14.948307692307692
MAT0583,"CABILLA D=7/8"" Fy=4200Kgf/cm2 L=12m P=3,045Kgf/m",11.732615384615384
MAT0580,"CABILLA D=3/4"" Fy=4200Kgf/cm2 L=12m P=2,237Kgf/m",10.93876923076923
MAT0582,"CABILLA D=5/8"" Fy=4200Kgf/cm2 L=12m P=1,554Kgf/m",13.246153846153845
MAT0577,"CABILLA D=1"" Fy= 4.200 Kgf/cm2 L=12m 3,978 Kgf/m",8.751538461538463
MAT0578,"CABILLA D=1-3/8"" Fy= 4.200 Kgf/cm2 L=12 m 7,907 Kgf/m",5.998
MAT1968,"PERNOS DE ANCLAJE DE ACERO SAE-1020 D=1/2"" Long.Vast=3""",192.30769230769232
MAT1969,"PERNOS DE ANCLAJE DE ACERO SAE-1045 D=1/2"" Long.Vast=3""",192.30769230769232
MAT1413,FONDO MINIO,240.3846153846154
MAT1567,KILOVATIO-HORA (< 36 KVA = 9.80 Bs/KVA),0.0052307692307692315
MAT0399,"ARANDELA GALVANIZADA D=1/2"" PLANA",0.7141538461538461
MAT1333,ENERGIA Y GASES 1,0.23907692307692308
MAT1931,"PERFIL ACERO ELECTROSOLDADO/VP 160mm P=16,4Kgf/m L=12m",4.290923076923077
MAT1938,PERFIL ECO ASTM A500 120x60x2.50mm L= 12 m 6.70 kg/m,17.585538461538462
MAT1586,LAM.ACAN/LOSACERO C.18/A/UTIL=76.2cm/Lmax12m 9.60kgf/m,69.70061538461539
MAT1588,LAM.ACAN/LOSACERO CAL.20/A/UTIL= 76.2 cm. 7.25 kgf/m,53.562000000000005
MAT1590,LAM.ACAN/LOSACERO CAL.22/A/UTIL =76.2 cm 5.68 kgf/m,35.24430769230769
MAT1592,LAM.ACAN/LOSACERO CAL.24/A/UTIL =76.2 cm 4.89 kgf/m,29.533846153846156
MAT1626,"LAMINA DE ZINC 2,44 x 0,83 m",60.25061538461539
MAT1594,LAM.ACANAL.STUCCO ALUM. e=0.5mm A/UTIL=0.90m 1.69 Kgf/m,46.683846153846154
MAT1595,LAM.ACANAL.STUCCO ALUM. e=0.6mm A/UTIL=0.90m 2.04 Kgf/m,77.72615384615385
MAT1624,"LAMINA DE TECHO CINDUTEJA DE ANCHO= 0,80 m A/u = 0,70 m",81.86938461538462
MAT0486,BLOQUE PARED ARCILLA 10 x 20 x 30 cm (16 P/m2) P=3.5 Kg,2.0467692307692307
MAT0487,BLOQUE PARED ARCILLA 12 x 20 x 30 cm (16 P/m2) P=4.2 Kg,2.125846153846154
MAT0488,BLOQUE PARED ARCILLA 15 x 20 x 30 cm (16 P/m2) P=5.0 Kg,2.318461538461538
MAT0489,BLOQUE PARED ARCILLA 20 x 20 x 30cm (16 P/m2) P=6.5 Kgf,1.493076923076923
MAT1578,LADRILLO MACIZO ARCILLA 6 x 12 x 25 cm,3.729230769230769
MAT1579,LADRILLO MACIZO ARCILLA OBRA LIMPIA 6 x 12 x 25 cm,3.729230769230769
MAT0493,BLOQUE PARED ENTERO NORMAL CONCRETO 10x20x40 cm.,2.9023076923076925
MAT0689,CAL EN POLVO 10 Kgf/saco,8.08
MAT0490,BLOQUE PARED ARCILLA ORNAMENTAL 15 x 15 x 15 cm,3.6876923076923074
MAT0491,BLOQUE PARED CONCRETO TIPO PERSIANA 15x20x40 cm.,3.609230769230769
MAT2608,"TORNILLO 1"" x 6"" P/TABIQUE 100 Und/caja",20.057846153846153
MAT0788,CINTA AUTOADHESIVA P/DRY-WALL ROLLO=100m,80.37692307692308
MAT1419,FULMINANTE P/PISTOLA DE FIJAC/CAL.22(VERDE) C=100 Und,1.612
MAT2611,"TORNILLO 7/16x7"" P/TABIQUE Caja:100 Und",5.308153846153846
MAT1610,"LAMINA D/YESO T.RASO e=1/2"" (DW) A=1.22m L=2.40m",272.36723076923073
MAT1953,"PERFIL PARALES P/TABIQUES 2 1/2"" x 3.05 m",48.75076923076924
MAT1952,"PERFIL PARALES P/TABIQUES 2 1/2"" x 2.49 m",36.44769230769231
MAT1793,MASTIQUE IMP (DRY WALL),176.92307692307693
MAT0795,"CLAVOS D/ACERO P/PISTOLA D/FIJACION L=1"" Caja:100 Und",0.7012307692307692
MAT0722,"CEMENTO BLANCO 21,25 Kgf/saco",54.897230769230774
MAT0483,BLOQUE DE VIDRIO 19 x 19 x 8 cm. TRANSLUCIDO,75.84707692307693
MAT0408,ARENA P/FRISO MARACAY (INCLUYE CARGA Y LOGISTICA),156.68584615384614
MAT2039,POLVO DE MARMOL 40 Kgf/saco,21.753846153846155
MAT0227,ADITIVO IMPERMEABILIZANTE SIKA - 1,147.69230769230768
MAT3209,YESO SACO DE 30 Kgf.,69.78461538461538
MAT0736,CERAMICA CARABOBO 33 x 33 cm. UNICOLOR BLANCO LISO,104.97538461538461
MAT1644,LANILLA DE ACERO #5,100.43076923076923
MAT1921,PEGO BLANCO MONTELUPO 20 Kgf/saco,20.976923076923075
MAT1917,PEGA VINILCEM DE 1/8 Gal (475 grs),27.700615384615386
MAT2283,RODAPIE VINYL PLASTIGEN h=10 cm rollo=50 m,0.5803076923076923
MAT2281,RODAPIE DE GRANITO PULIDO h=10cm e=3mm L=1m,111.85307692307693
MAT2580,TEJA CRIOLLA DE ARCILLA 19 x 40 x 1 cm (COLONIAL),1.5227692307692309
MAT1108,CUMBRERA P/TEJAS DE CONCRETO (3 Pza/m),8.508307692307692
MAT2581,TEJA DE CONCRETO COL.ROJO LADRILLO (10 Pza/ m2),51.58476923076923
MAT1427,GANCHO P/LAMINA TECHO C/ARANDELA ASFALTICA Y MET. 2 x 1,3.747076923076923
MAT1397,FLEJE PLASTICO e=5mm (COLOR: BLANCO),0.36923076923076925
MAT1332,ENDURECEDOR KEMOX H-100 SACO PESO = 25 Kgf,4.118307692307693
MAT1553,JUEGO DE PIEDRAS PARA PULIR Nº 24 3 Und.,189.80769230769232
MAT1454,GRANITO N° 0 SACO COLOR BLANCO 35 Kgf.,69.23076923076923
MAT0430,"BALDOSA VINYL PLASTIGEN 30,5x30,5cm e=1.6mm",14.506307692307692
MAT0431,"BALDOSA VINYL TIPO TERRAZO 30,5x30,5cm e=3.2mm",40.60830769230769
MAT2657,TRANSPORTE DE MATERIALES ( 5%),0.0007692307692307692
MAT0429,BALDOSA DE GRANITO 25 x 25 cm BLANCO-NEGRO,450.3123076923077
MAT0703,CANTO RODADO ROJO (GRAVILLA Nº 3 ROJO),69.97215384615384
MAT1873,PANELA VITRIFICADA (CAICO) 25x25 cm,204.05446153846154
MAT2232,REM-9041 CONSTRUCCION DE MEDIA CAÑA,16.00430769230769
MAT0129,ACIDO MURIATICO,19.158615384615384
MAT0255,ALAMBRE ACERO GALVANIZADO PARA ATAR CAL. 18,0.8253846153846154
MAT1396,FLEJE DE MADERA (SAQUI-SAQUI) 1x1x300 cm,39.06892307692308
MAT0796,"CLAVOS DE 1-1/2"" CAL.14 caja = 25 Kgf",17.17676923076923
MAT0800,COCUIZA,33.571384615384616
MAT0131,ACIDO OXALICO,11.145384615384616
MAT2018,PLANCHA DE PLOMO 1mm PARA PULIR GRANITO (1Kgf),812.1803076923077
MAT0735,CERA PASTA NEUTRA PARA PULIR GRANITO,144.67261538461537
MAT2452,TE DE ALUMINIO SECUNDARIO COLOR BLANCO 4pies L= 1.22 m.,13.101538461538462
MAT1596,LAM.ACRILICA PUNTA DIAMANTE TRANSP.D=1.20x0.60m e=2.2mm,117.87953846153846
MAT0319,ANGULO ALUMINIO BLANCO L= 3.66 m.,4.390461538461539
MAT0262,ALAMBRE LISO GALVANIZADO CAL 12.5,60.71415384615385
MAT2451,TE DE ALUMINIO PRINCIPAL COLOR BLANCO 12pies L=3.66m.,8.587384615384615
MAT1609,"LAMINA D/FIBRA DE VIDRIO P/TECHO RASO 1,20x0,60m e=5/8""",63.11076923076923
MAT1930,"PERF. CANAL OMEGA MET. P/T DW 2 1/2"" L= 3.05 m",32.34615384615385
MAT1611,"LAMINA D/YESO T.RASO e=3/8"" (DW) A=1.22m L=2.40m",248.52046153846155
MAT1639,"LAMINA YESO TEXT. P/T. RASO e=1/4"" A=0.60m L=1.20m",131.9929230769231
MAT1619,"LAMINA DE FIBRA MINERAL P/TECHO RASO 60x120 cm e=1/2""",99.17523076923078
MAT1620,"LAMINA DE FIBRA MINERAL P/TECHO RASO 60x120 cm e=5/8""",97.25230769230768
MAT1623,"LAMINA DE POLIESTIRENO 1,20x0,60m e= 5/8""",9.077538461538461
MAT1996,PINTURA CAPA COLOR VERDE,737.7256923076923
MAT1254,ECOPRIMER (IMPERMEABILIZANTE A BASE D/EMULSION ASFALT),127.01307692307692
MAT1566,KEROSENE,14.159846153846154
MAT1656,LIGA PISO MASTIC,44.052615384615386
MAT1444,"GEOMEMBRANA IMPERMEAB500 A= 3,40m L=VAR. m e=0.50mm",32.673692307692306
MAT1583,LAM. ASF.ELASTOMERICA C/R INT.F.POLIESTER e=4mm 10x1m,22.632615384615384
MAT2231,"REM-9039 LOSETAS PREFAB.MORTERO 70x70,2.5 ESP.INC.MORT.",70.17953846153846
MAT0418,ASFALTO SOLIDO-CILINDRO DE 45 Kgf,21.53153846153846
MAT2077,PRIMER (IMPERMEABILIZANTE C/SOLVENTE) ASFALTO LIQUIDO,139.50415384615386
MAT0724,CEMENTO PLASTICO,100.75538461538463
MAT1597,LAM.ASF.ELASTOMERICA C/R INT.F.POLIESTER e=3mm 10x1m,18.33446153846154
MAT1598,LAM.ELASTOMERICA C/REFUERZ. INT FIBRAVIDRIO e=4mm 10 m2,14.833538461538462
