CodMat,Descri,UniMat,CosMat
MAT0057,"ABRAZADERA (OMEGA) MOROCHA D=3"" GALV/ LIV / C.TORN.",pieza,9.492153846153846
MAT2946,"TUBO H.G. ISO D=3"" L= 6.40 m",m,130.5353846153846
MAT2032,"PLETINA NEGRA 3/4""x3/16"" L=1.8 m. P/CERCA CICL0N",pieza,17.80076923076923
MAT1883,PASADOR VERTICAL PORTON P/COLOCACION CANDADO H.G.,und,54.72123076923077
MAT1882,PASADOR HORIZONTAL PORTON P/COLOCACION CANDADO H.G.,und,54.158307692307694
MAT3009,"TUBO PVC ExE AGUA FRIA ASTM D=4"" L=6,00 m",m,72.57307692307693
MAT1665,LIMPIADOR REMOVEDOR PAVCO (ENV. 760 Grms.),envas,77.59015384615384
MAT1513,INTERRUPTOR TQC 2P 30A 120/240V 10KA (ATORNILLABLE),pieza,77.66676923076923
MAT0624,CABLE TTU # 10 AWG/MCM (90Ã‚Â° C 600 V),m,63.26815384615385
MAT3002,"TUBO PVC ExE AGUA FRIA ASTM D=1-1/2"" L=6,00 m",m,14.795538461538461
MAT2354,SOLDADURA LIQUIDA PVC-PAVCO A/F ENV. 1/4 Gal,envas,51.744
MAT1383,FILTRO NYLON P/POZO,und,243.6507692307692
MAT0935,"COMPACTMEX fÃ‚Â´c = 210 Kgf/cm2 As= 7,5""",m3,508.24584615384623
MAT0529,BOMBA ROTO PUMP 1 1/2 HP,eqp,2505.2556923076922
MAT2757,"TUBERIA EMT D=1"" L= 3.00 m",m,19.573076923076922
MAT0687,"CAJETIN RECTAN. 4x2"" HUECOS 1/2""o 3/4""",pieza,41.810769230769225
MAT0684,"CAJETIN CUADRADO DE 5""x5""(HUECO 1"")",pieza,40.178000000000004
MAT0362,"ANILLO E.M.T. D=1""",pieza,7.691846153846154
MAT0994,"CONECTOR E.M.T. D=1""",pieza,6.788461538461538
MAT0636,CABLE TW # 12 AWG/MCM (THHN 90Ã‚Â° C 600 V),m,17.187846153846156
MAT0640,CABLE TW # 6 AWG/MCM (THHN 90Ã‚Â° C 600 V),m,53.718923076923076
MAT1168,"CURVA E.M.T. D=1""",pieza,25.869076923076925
MAT1688,"LLAVE DE COMPUERTA D=3/4""",pieza,171.19415384615385
MAT2487,"TEE H.G. D=3/4""",pieza,10.343076923076922
MAT2575,TEFLON (ROLLO 1/2 x 12 m),rollo,8.987230769230768
MAT2947,"TUBO H.G. ISO D=3/4"" L= 6.40 m",m,23.96153846153846
MAT0369,"ANILLO H.G. D= 3/4""",pieza,6.582
MAT0905,"CODO H.G. 90Ã‚Â° D=3/4""",pieza,8.776000000000002
MAT3012,"TUBO PVC AN NORMAL 4"" L= 3.00 m",m,15.439538461538461
MAT3206,"YEE PVC P/AGUAS NEGRAS D=4""",pieza,15.64276923076923
MAT0914,"CODO PVC AGUAS NEGRAS 45Ã‚Â° D=4""",pieza,8.317846153846153
MAT1918,PEGAMENTO P/TUBOS PVC TANGIT ENVASE 950 ml,envas,40.11492307692308
MAT1663,LIMPIADOR DE TUBOS PVC TANGIT PAVCO,l,25.12876923076923
MAT1246,"DISCO ABRASIVO PARA ESMERIL 7""",pieza,124.4336923076923
MAT0128,ACETILENO INDUSTRIAL (CILINDRO DE Cap= 6 kgf),und,207.5106153846154
MAT1866,OXIGENO INDUSTRIAL (CILINDRO DE Cap= 6 kgf),und,135.34507692307693
MAT1795,"MATERIAL P/DEMARCACION (NYLON,CAL,CABILLA Y ALAMBRE)",m,8.209999999999999
MAT0797,"CLAVOS DE 4"" CAL.8 caja= 25 Kgf",Kgf,23.95184615384615
MAT1746,MADERA TABLERO D/AURORA/CHAPA FINA/DIM=1.62X2.20m,m3,7378.782307692308
MAT1986,"PIEDRA TRITURADA DE 1""",m3,208.49984615384616
MAT1455,GRANZON,m3,142.21061538461538
MAT0368,"ANILLO H.G. D= 1/2""",pieza,5.014923076923077
MAT0902,"CODO H.G. 90Ã‚Â° D=1/2""",pieza,5.737846153846154
MAT2483,"TEE H.G. D=1/2""",pieza,8.149076923076924
MAT2941,"TUBO H.G. ISO D= 1/2"" L= 6.40 m",m,17.645076923076925
MAT2940,"TUBO H.G. ISO D= 1"" L= 6.40 m",m,33.690769230769234
MAT0370,"ANILLO H.G. D=1""",pieza,11.596923076923076
MAT2482,"TEE H.G. D=1""",pieza,20.059384615384612
MAT0899,"CODO H.G. 90Ã‚Â° D=1""",pieza,14.104307692307692
MAT2458,"TEE DE ACERO P/SOLDAR D= 1/2"" WBP A-234 SCHEDULE 40",pieza,149.53184615384615
MAT0884,"CODO DE ACERO P/SOLDAR D= 1/2"" WBP A-234 SCHEDULE 40",pieza,99.22969230769232
MAT2740,"TUBERIA ACERO D=1/2"" SCH40 ASTM-A53 G-B S/COSTURA",m,259.9336923076923
MAT3103,"UNION UNIVERSAL H.G. D=1/2""",pieza,24.760923076923078
MAT0888,"CODO DE ACERO P/SOLDAR D= 3/4"" WBP A-234 SCHEDULE 40",pieza,109.1836923076923
MAT2462,"TEE DE ACERO P/SOLDAR D= 3/4"" WBP A-234 SCHEDULE 40",pieza,220.06630769230767
MAT2742,"TUBERIA ACERO D=3/4"" SCH 40 ASTM-A53 G-B S/COSTURA",m,391.3064615384615
MAT2455,"TEE DE ACERO P/SOLDAR D= 1"" WBP A-234 SCHEDULE 40",pieza,220.06630769230767
MAT0881,"CODO DE ACERO P/SOLDAR D= 1"" WBP A-234 SCHEDULE 40",pieza,115.6913846153846
MAT2731,"TUBERIA ACERO D= 1"" SCH 40 ASTM-A53 G-B S/COSTURA",m,509.4429230769231
MAT3100,"UNION UNIVERSAL H.G. D=1""",pieza,40.43230769230769
MAT2739,"TUBERIA ACERO D=1-1/4"" SCH40 ASTM-A53 G-B S/COSTURA",m,720.6664615384616
MAT3102,"UNION UNIVERSAL H.G. D=1-1/4""",pieza,56.41723076923077
MAT0372,"ANILLO H.G. D=1-1/4""",pieza,14.104307692307692
MAT0883,"CODO DE ACERO P/SOLDAR D= 1-1/4"" WBP A-234 SCHEDULE40",pieza,123.80384615384615
MAT2457,"TEE DE ACERO P/SOLDAR D= 1-1/4"" WBP A-234 SCHEDULE 40",pieza,290.6293846153846
MAT2456,"TEE DE ACERO P/SOLDAR D= 1-1/2"" WBP A-234 SCHEDULE40",pieza,297.2909230769231
MAT0882,"CODO DE ACERO P/SOLDAR D= 1-1/2"" WBP A-234 SCHEDULE40",pieza,248.50584615384614
MAT2738,"TUBERIA ACERO D=1-1/2"" SCH40 ASTM-A53 G-B S/COSTURA",m,999.9350769230768
MAT0371,"ANILLO H.G. D=1-1/2""",pieza,20.999692307692307
MAT3101,"UNION UNIVERSAL H.G. D=1-1/2""",pieza,64.87984615384615
MAT2459,"TEE DE ACERO P/SOLDAR D= 2"" WBP A-234 SCHEDULE 40",pieza,349.4286153846154
MAT3104,"UNION UNIVERSAL H.G. D=2""",pieza,99.04353846153846
MAT0885,"CODO DE ACERO P/SOLDAR D= 2"" WBP A-234 SCHEDULE 40",pieza,291.1213846153846
MAT2732,"TUBERIA ACERO D= 2"" SCH 40 ASTM-A53 G-B S/COSTURA",m,1412.402
MAT0373,"ANILLO H.G. D=2""",pieza,32.28323076923077
MAT2460,"TEE DE ACERO P/SOLDAR D= 2-1/2"" WBP A-234 SCHEDULE 40",pieza,571.266923076923
MAT0886,"CODO DE ACERO P/SOLDAR D= 2-1/2"" WBP A-234 SCHEDULE 40",pieza,345.8629230769231
MAT2741,"TUBERIA ACERO D=2-1/2"" SCH 40 ASTM-A53 G-B S/COSTURA",m,2197.7686153846153
MAT0374,"ANILLO H.G. D=2-1/2""",pieza,53.5963076923077
MAT3105,"UNION UNIVERSAL H.G. D=2-1/2""",pieza,162.66953846153848
MAT0375,"ANILLO H.G. D=3""",pieza,69.26784615384615
MAT2733,"TUBERIA ACERO D= 3"" SCH40 ASTM-A53 G-B S/COSTURA",m,3016.4063076923076
MAT0887,"CODO DE ACERO P/SOLDAR D= 3"" WBP A-234 SCHEDULE 40",pieza,560.1926153846154
MAT2461,"TEE DE ACERO P/SOLDAR D= 3"" WBP A-234 SCHEDULE 40",pieza,714.0836923076923
MAT3106,"UNION UNIVERSAL H.G. D=3""",pieza,233.44184615384614
MAT2734,"TUBERIA ACERO D= 4"" SCH40 ASTM-A53 G-B S/COSTURA",m,4255.4055384615385
MAT0376,"ANILLO H.G. D=4""",pieza,124.74476923076922
MAT3108,"UNION UNIVERSAL H.G. D=4""",pieza,601.7833846153845
MAT2735,"TUBERIA ACERO D= 5"" SCH 40 ASTM-A53 G-B S/COSTURA",m,6007.281384615384
MAT0889,"CODO DE ACERO P/SOLDAR D= 6"" WBP A-234 SCHEDULE 40",pieza,2037.9024615384617
MAT0890,"CODO DE ACERO P/SOLDAR D= 8"" WBP A-234 SCHEDULE 40",pieza,3025.731846153846
MAT2736,"TUBERIA ACERO D= 6"" SCH40 ASTM-A53 G-B S/COSTURA",m,8486.316307692308
MAT1769,MANTECA VEGETAL-PAQUETE DE 15 Kgf,Kgf,6.4173846153846155
MAT1344,ESTOPA NACIONAL PESO= 12Kgf/rollo,Kgf,41.83292307692307
MAT2703,"TUB.PVC C/AB ExJUS JTA.USF/ACU.D=75x3,6mmP=142psiL=6m",m,23.706615384615386
MAT2690,"TUB.PVC AB ExJUS JTA.UNI ACU.D=110x5,3mm P=142psi L=6m",m,50.41430769230769
MAT2693,"TUB.PVC C/AB ExJUS JTA.USF/ACU.D=160x7,7mmP=142psi L=6m",m,104.73723076923078
MAT2694,"TUB.PVC C/AB ExJUS JTA.USF/ACU.D=200x9,6mmP=142psi L=6m",m,164.40169230769231
