CodMat,Descri,UniMat,CosMat
MAT2975,"TUBO P.E.A.D. D=200mm(8"") N10 (150psi) 10.409Kgf/m 12m",m,73.36246153846155
MAT2977,"TUBO P.E.A.D. D=250mm(10"")N10 (150psi)16.217Kgf/m 12m",m,119.41123076923077
MAT2978,"TUBO P.E.A.D. D=315mm(12 1/4"")N5(150psi)25.724Kgf/m 12m",m,188.2203076923077
MAT2981,"TUBO P.E.A.D. D=355mm(14"") N10(150psi) 32.633 Kgf/m 12m",m,242.17646153846152
MAT2983,"TUBO P.E.A.D. D=400mm(16 1/4"")N10(150psi)41.43Kgf/m 12m",m,288.4498461538462
MAT3003,"TUBO PVC ExE AGUA FRIA ASTM D=1/2"" L=6,00 m",m,4.933692307692308
MAT0850,"CODO 90Ã‚Â° PVC PRESION A/F ASTM D=1/2""",pieza,1.188923076923077
MAT2540,"TEE PVC PRESION A/F ASTM D=1/2""",pieza,1.4646153846153847
MAT3008,"TUBO PVC ExE AGUA FRIA ASTM D=3/4"" L=6,00 m",m,6.458615384615385
MAT0854,"CODO 90Ã‚Â° PVC PRESION A/F ASTM D=3/4""",pieza,1.7747692307692307
MAT2544,"TEE PVC PRESION A/F ASTM D=3/4""",pieza,2.429538461538461
MAT2538,"TEE PVC PRESION A/F ASTM D=1""",pieza,4.084153846153846
MAT0823,"CODO 90Ã‚Â° PVC PRESION A/F ASTM D=1""",pieza,4.872307692307692
MAT3001,"TUBO PVC ExE AGUA FRIA ASTM D=1"" L=6,00 m",m,8.440153846153846
MAT1461,"GRASA FIBROSA ENVASE 3,5 Kgf",Kgf,16.557692307692307
MAT2702,"TUB.PVC C/AB ExJUS JTA.USF/ACU.D=75x3,6mmP=142psi L=6m",m,23.706615384615386
MAT2691,"TUB.PVC C/AB ExJUS JTA.USF/ACU.D=110x5,3 mmP=142psiL=6m",m,50.41430769230769
MAT2692,"TUB.PVC C/AB ExJUS JTA.USF/ACU.D=160x7,7mmP=142 psiL=6m",m,104.73723076923078
MAT2809,"TUBO COBRE TIPO L (FLEXIBLE-AGUA) D= 3/4"" L= 15.20 m",m,201.02584615384615
MAT0354,"ANILLO CONEXION COBRE-COBRE D=3/4""",pieza,7.834153846153846
MAT2808,"TUBO COBRE TIPO L (FLEXIBLE-AGUA) D= 1"" L= 6,10 m",m,418.7730769230769
MAT0353,"ANILLO CONEXION COBRE-COBRE D=1""",pieza,15.637692307692308
MAT0920,CODO RAPIDO P.E.A.D. D= 16 mm,pieza,5.6598461538461535
MAT0921,CODO RAPIDO P.E.A.D. D= 20 mm,pieza,9.133230769230769
MAT0922,CODO RAPIDO P.E.A.D. D= 25 mm,pieza,12.036923076923076
MAT0923,CODO RAPIDO P.E.A.D. D= 32 mm,pieza,15.405538461538463
MAT0924,CODO RAPIDO P.E.A.D. D= 40 mm,pieza,22.948307692307694
MAT0925,CODO RAPIDO P.E.A.D. D= 50 mm,pieza,41.336615384615385
MAT0926,CODO RAPIDO P.E.A.D. D= 63 mm,pieza,54.76215384615384
MAT0927,CODO RAPIDO P.E.A.D. D= 75 mm,pieza,65.21553846153847
MAT0928,CODO RAPIDO P.E.A.D. D= 90 mm,pieza,68.94076923076922
MAT0919,CODO RAPIDO P.E.A.D. D= 110 mm,pieza,154.61846153846156
MAT2548,TEE RAPIDA P.E.A.D. D= 16 mm,pieza,9.348615384615384
MAT2549,TEE RAPIDA P.E.A.D. D= 20 mm,pieza,11.358615384615383
MAT2550,TEE RAPIDA P.E.A.D. D= 25 mm,pieza,16.99646153846154
MAT2551,TEE RAPIDA P.E.A.D. D= 32 mm,pieza,19.450153846153846
MAT2552,TEE RAPIDA P.E.A.D. D= 40 mm,pieza,22.527538461538462
MAT2553,TEE RAPIDA P.E.A.D. D= 50 mm,pieza,43.31830769230769
MAT2554,TEE RAPIDA P.E.A.D. D= 63 mm,pieza,51.20953846153846
MAT2555,TEE RAPIDA P.E.A.D. D= 75 mm,pieza,50.923692307692306
MAT2556,TEE RAPIDA P.E.A.D. D= 90 mm,pieza,175.11676923076922
MAT2547,TEE RAPIDA P.E.A.D. D= 110 mm,pieza,200.16676923076923
MAT3097,UNION RAPIDA REDUCIDA P.E.A.D. D= 50 mm x 25mm,pieza,11.335230769230769
MAT3098,UNION RAPIDA REDUCIDA P.E.A.D. D= 75 mm x 40mm,pieza,63.11076923076923
MAT3099,UNION RAPIDA REDUCIDA P.E.A.D. D= 90 mm x 63mm,pieza,70.43615384615386
MAT3096,UNION RAPIDA REDUCIDA P.E.A.D. D= 110 mm x 75mm,pieza,151.2150769230769
MAT0098,"ABRAZADERA SENCILLA P.E.A.D. D= 20 mm x 1/2""",pieza,5.695230769230769
MAT0099,"ABRAZADERA SENCILLA P.E.A.D. D= 32 mm x 3/4""",pieza,7.688153846153846
MAT0100,"ABRAZADERA SENCILLA P.E.A.D. D= 40 mm x 1""",pieza,6.652461538461539
MAT0101,"ABRAZADERA SENCILLA P.E.A.D. D= 63 mm x 1-1/4""",pieza,12.682307692307692
MAT0102,"ABRAZADERA SENCILLA P.E.A.D. D= 90 mm x 1/2""",pieza,24.004461538461538
MAT0096,"ABRAZADERA SENCILLA P.E.A.D. D= 110 mm x 1-1/2""",pieza,26.292615384615384
MAT0097,"ABRAZADERA SENCILLA P.E.A.D. D= 110 mm x 2""",pieza,27.69553846153846
MAT0205,"ADAPTADOR RAPIDO MACHO P.E.A.D. D= 16 mm x 1/2""",pieza,4.970769230769231
MAT0206,"ADAPTADOR RAPIDO MACHO P.E.A.D. D= 20 mm x 3/4""",pieza,5.985692307692307
MAT0207,"ADAPTADOR RAPIDO MACHO P.E.A.D. D= 25 mm x 3/4""",pieza,7.286615384615384
MAT0208,"ADAPTADOR RAPIDO MACHO P.E.A.D. D= 32 mm x 1""",pieza,9.341692307692309
MAT0209,"ADAPTADOR RAPIDO MACHO P.E.A.D. D= 63 mm x 2""",pieza,30.38476923076923
MAT0210,"ADAPTADOR RAPIDO MACHO P.E.A.D. D= 75 mm x 2-1/2""",pieza,59.21861538461538
MAT0211,"ADAPTADOR RAPIDO MACHO P.E.A.D. D= 90 mm x 3""",pieza,78.27138461538462
MAT0204,"ADAPTADOR RAPIDO MACHO P.E.A.D. D= 110 mm x 4""",pieza,130.7003076923077
MAT0199,"ADAPTADOR RAPIDO HEMBRA P.E.A.D. D= 20 mm x 1/2""",pieza,5.913538461538462
MAT0200,"ADAPTADOR RAPIDO HEMBRA P.E.A.D. D= 25 mm x 1/2""",pieza,5.4550769230769225
MAT0201,"ADAPTADOR RAPIDO HEMBRA P.E.A.D. D= 50 mm x 1 1/2""",pieza,21.065076923076923
MAT0202,"ADAPTADOR RAPIDO HEMBRA P.E.A.D. D= 75 mm x 2""",pieza,59.43369230769231
MAT0203,"ADAPTADOR RAPIDO HEMBRA P.E.A.D. D= 90 mm x 3""",pieza,93.7
MAT0198,"ADAPTADOR RAPIDO HEMBRA P.E.A.D. D= 110 mm x 3""",pieza,148.46846153846155
MAT1041,CONEXION DE SOLD. A TOPE P/TUBERIA P.E.A.D. D=160mm,punto,50.07661538461539
MAT2659,TRASLADO TECNICOS/EQ.SOLDADURA TUB.P.E.A.D. D= 160 mm,punto,17.482461538461536
MAT1042,CONEXION DE SOLD. A TOPE P/TUBERIA P.E.A.D. D=200mm,punto,58.23369230769231
MAT2660,TRASLADO TECNICOS/EQ.SOLDADURA TUB.P.E.A.D. D= 200 mm,punto,17.482461538461536
MAT1043,CONEXION DE SOLD. A TOPE P/TUBERIA P.E.A.D. D=250mm,punto,68.03615384615385
MAT2661,TRASLADO TECNICOS/EQ.SOLDADURA TUB.P.E.A.D. D= 250 mm,punto,19.23076923076923
MAT1044,CONEXION DE SOLD. A TOPE P/TUBERIA P.E.A.D. D=315mm,punto,78.13830769230769
MAT2662,TRASLADO TECNICOS/EQ.SOLDADURA TUB.P.E.A.D. D= 315 mm,punto,21.367538461538462
MAT1045,CONEXION DE SOLD. A TOPE P/TUBERIA P.E.A.D. D=355mm,punto,88.03584615384615
MAT2663,TRASLADO TECNICOS/EQ.SOLDADURA TUB.P.E.A.D. D= 355 mm,punto,25.641076923076923
MAT1046,CONEXION DE SOLD. A TOPE P/TUBERIA P.E.A.D. D=400mm,punto,132.63984615384615
MAT2664,TRASLADO TECNICOS/EQ.SOLDADURA TUB.P.E.A.D. D= 400 mm,punto,32.05123076923077
MAT1047,CONEXION DE SOLD. A TOPE P/TUBERIA P.E.A.D. D=500mm,punto,150.91876923076921
MAT2665,TRASLADO TECNICOS/EQ.SOLDADURA TUB.P.E.A.D. D= 500 mm,punto,38.46153846153846
MAT1048,CONEXION DE SOLD. A TOPE P/TUBERIA P.E.A.D. D=630mm,punto,179.74800000000002
MAT2666,TRASLADO TECNICOS/EQ.SOLDADURA TUB.P.E.A.D. D= 630 mm,punto,48.07692307692308
MAT1328,"EMPACADURA PLANA DE GOMA NEOPRENO D=75 mm e = 1/16""",und,26.430923076923076
MAT1548,"JUEGO DE ESPARRAGOS CON TUERCAS P/BRIDA D=3"" Y 4""",juego,78.58276923076923
MAT3133,VALVULA COMP. VASTAGO FIJO PN16 D = 80 mm,pieza,2218.7413846153845
MAT3142,VALVULA DE COMP. VASTAGO FIJO PN-16 BAR DIAM = 100 mm,pieza,4539.679384615384
MAT1326,"EMPACADURA PLANA DE GOMA NEOPRENO D=100 mm e = 1/16""",und,45.868
MAT3143,VALVULA DE COMP. VASTAGO FIJO PN-16 BAR DIAM = 150 mm,pieza,5723.999076923077
MAT1549,"JUEGO DE ESPARRAGOS CON TUERCAS P/BRIDA D=6"" Y 8""",juego,84.64030769230769
MAT1327,"EMPACADURA PLANA DE GOMA NEOPRENO D=150 mm e = 1/16""",und,66.04661538461538
MAT3107,"UNION UNIVERSAL H.G. D=3/4""",pieza,31.342923076923075
MAT3148,"VALVULA REDU.D/PRESION IMP.3"" RINOX C/FLANGE",pieza,11714.26846153846
MAT3149,"VALVULA REDU.D/PRESION IMP.4"" RINOX C/FLANGE",pieza,17499.092153846155
MAT1078,"CORPORATION STOP DIAM = 1/2""",pieza,71.59030769230769
MAT1079,"CORPORATION STOP DIAM = 3/4""",pieza,72.24661538461538
MAT1080,"CORPORATION STOP DIAM = 1""",pieza,85.45507692307692
MAT1543,"JGO MARCO,TAPA Y BISAGRA+CERROJO A/R ASTM A595 60cm",pieza,608.8241538461539
MAT1483,"HIDRANTE POSTE T/MUNI/CUER4""/HF/2SA2-1/2""/1SA4-1/2""/NAC",pieza,7948.072307692308
MAT1484,"HIDRANTE POSTE T/MUNI/CUER6""/HF/2SA2-1/2""/1SA4-1/2""/NAC",pieza,7884.992307692308
MAT0676,CAJA TRONCOCONICA P/MEDIDOR D= 53x32x30cm P=40Kgf/Pza,pieza,123.15415384615385
MAT0675,CAJA TRONCOCONICA H.F.ASTM A-48 TAPA-VISG-CERR,juego,91.64461538461538
MAT0672,CAJA INTERAMERICANA TIPO F-2 C/SALIDA D=20mm INC.CONEX,pieza,151.73000000000002
MAT0465,"BASE PARA MEDIDOR COMPLETA 1/2""",pieza,101.61046153846155
MAT0466,"BASE PARA MEDIDOR COMPLETA 3/4""",pieza,148.24676923076925
MAT0464,"BASE PARA MEDIDOR COMPLETA 1""",pieza,279.54630769230766
MAT1039,"CONEXION COBRE-HIERRO HEMBRA D=1/2""",pieza,18.126307692307694
MAT2811,"TUBO COBRE TIPO L (RIGIDA-AGUA) D= 1/2"" L= 6,10 m",m,185.22661538461537
MAT1040,"CONEXION COBRE-HIERRO HEMBRA D=3/4""",pieza,24.57892307692308
MAT2812,"TUBO COBRE TIPO L (RIGIDA-AGUA) D= 3/4"" L= 6,10 m",m,311.3953846153846
MAT2810,"TUBO COBRE TIPO L (RIGIDA-AGUA) D= 1"" L= 6,10 m",m,418.7730769230769
MAT1038,"CONEXION COBRE-HIERRO HEMBRA D=1""",pieza,49.592769230769235
MAT1680,"LLAVE DE BRONCE P/MANGUERA 1/2"" x 3/4""",pieza,91.77538461538461
MAT1669,"LLAVE CROMADO P/MANGUERA 1/2"" x 3/4""",pieza,105.03876923076923
MAT1122,"CURVA 11,25Ã‚Âº ExUNISAFE ACUEDUCTO DIAM. = 75mm",pieza,53.536
MAT1116,"CURVA 11,25Ã‚Âº ExUNISAFE ACUEDUCTO DIAM. = 110mm",pieza,163.36492307692308
MAT1117,"CURVA 11,25Ã‚Âº ExUNISAFE ACUEDUCTO DIAM. = 160mm",pieza,480.7212307692308
MAT1118,"CURVA 11,25Ã‚Âº ExUNISAFE ACUEDUCTO DIAM. = 200mm",pieza,748.8492307692308
MAT1119,"CURVA 11,25Ã‚Âº ExUNISAFE ACUEDUCTO DIAM. = 250mm",pieza,877.5286153846154
MAT1120,"CURVA 11,25Ã‚Âº ExUNISAFE ACUEDUCTO DIAM. = 315mm",pieza,1383.113846153846
MAT1121,"CURVA 11,25Ã‚Âº ExUNISAFE ACUEDUCTO DIAM. = 400mm",pieza,2250.9243076923076
MAT1115,"CURVA 11,25Ã‚Âº DOBLE JUNTA UNISAFE ACUEDUCTO D= 75mm",pieza,57.550769230769234
MAT1109,"CURVA 11,25Ã‚Âº DOBLE JUNTA UNISAFE ACUEDUCTO D= 110mm",pieza,169.3956923076923
MAT1110,"CURVA 11,25Ã‚Âº DOBLE JUNTA UNISAFE ACUEDUCTO D= 160mm",pieza,502.60430769230766
MAT1111,"CURVA 11,25Ã‚Âº DOBLE JUNTA UNISAFE ACUEDUCTO D= 200mm",pieza,785.2233846153846
MAT1113,"CURVA 11,25Ã‚Âº DOBLE JUNTA UNISAFE ACUEDUCTO D= 315mm",pieza,1412.1821538461538
MAT1114,"CURVA 11,25Ã‚Âº DOBLE JUNTA UNISAFE ACUEDUCTO D= 400mm",pieza,2273.979076923077
MAT1136,"CURVA 22,50Ã‚Âº ExUNISAFE ACUEDUCTO DIAM. = 75mm",pieza,53.536
MAT1130,"CURVA 22,50Ã‚Âº ExUNISAFE ACUEDUCTO DIAM. = 110mm",pieza,163.36492307692308
MAT1131,"CURVA 22,50Ã‚Âº ExUNISAFE ACUEDUCTO DIAM. = 160mm",pieza,480.7212307692308
MAT1132,"CURVA 22,50Ã‚Âº ExUNISAFE ACUEDUCTO DIAM. = 200mm",pieza,748.8492307692308
MAT1133,"CURVA 22,50Ã‚Âº ExUNISAFE ACUEDUCTO DIAM. = 250mm",pieza,877.5286153846154
MAT1134,"CURVA 22,50Ã‚Âº ExUNISAFE ACUEDUCTO DIAM. = 315mm",pieza,1383.113846153846
MAT1135,"CURVA 22,50Ã‚Âº ExUNISAFE ACUEDUCTO DIAM. = 400mm",pieza,2250.9243076923076
MAT1129,"CURVA 22,50Ã‚Âº DOBLE JUNTA UNISAFE ACUEDUCTO D=75mm",pieza,57.550769230769234
MAT1123,"CURVA 22,50Ã‚Âº DOBLE JUNTA UNISAFE ACUEDUCTO D= 110mm",pieza,169.3956923076923
MAT1124,"CURVA 22,50Ã‚Âº DOBLE JUNTA UNISAFE ACUEDUCTO D= 160mm",pieza,502.60430769230766
MAT1125,"CURVA 22,50Ã‚Âº DOBLE JUNTA UNISAFE ACUEDUCTO D= 200mm",pieza,785.2233846153846
MAT1126,"CURVA 22,50Ã‚Âº DOBLE JUNTA UNISAFE ACUEDUCTO D= 250mm",pieza,892.4676923076923
MAT1127,"CURVA 22,50Ã‚Âº DOBLE JUNTA UNISAFE ACUEDUCTO D= 315mm",pieza,1412.1821538461538
MAT1128,"CURVA 22,50Ã‚Âº DOBLE JUNTA UNISAFE ACUEDUCTO D=400mm",pieza,1175.1038461538462
MAT0812,CODO 45Ã‚Â° PVC ACUEDUCTO ExJUNTA UNIFASE D=75 mm,pieza,60.75569230769231
MAT0806,CODO 45Ã‚Â° PVC ACUEDUCTO ExJUNTA UNIFASE D=110 mm,pieza,150.04553846153846
MAT0807,CODO 45Ã‚Â° PVC ACUEDUCTO ExJUNTA UNIFASE D=160 mm,pieza,414.91692307692307
MAT0809,CODO 45Ã‚Â° PVC ACUEDUCTO ExJUNTA UNIFASE D=200 mm,pieza,548.3347692307692
MAT0810,CODO 45Ã‚Â° PVC ACUEDUCTO ExJUNTA UNIFASE D=250 mm,pieza,1317.568
MAT0811,CODO 45Ã‚Â° PVC ACUEDUCTO ExJUNTA UNIFASE D=315 mm,pieza,1579.648
MAT0805,CODO 45Ã‚Â° PVC ACUEDUCTO DOBLE JUNTA UNIFASE D=75 mm,pieza,69.40553846153846
MAT0803,CODO 45Ã‚Â° PVC ACUEDUCTO DOBLE JUNTA UNIFASE D=110 mm,pieza,161.57292307692308
MAT0820,CODO 45Ã‚Âº PVC DOBLE JUNTA UNISAFE ACUEDUCTO D= 200mm,pieza,592.4799999999999
MAT0821,CODO 45Ã‚Âº PVC DOBLE JUNTA UNISAFE ACUEDUCTO D= 250mm,pieza,1553.0781538461538
MAT0822,CODO 45Ã‚Âº PVC DOBLE JUNTA UNISAFE ACUEDUCTO D= 315mm,pieza,2450.904615384615
MAT0819,CODO 45Ã‚Âº PVC CAMP P/SOLDAR UNISAFE ACUEDUCTO D= 75mm,pieza,38.73476923076923
MAT0816,CODO 45Ã‚Âº PVC CAMP P/SOLDAR UNISAFE ACUEDUCTO D= 110mm,pieza,114.82584615384616
MAT0817,CODO 45Ã‚Âº PVC CAMP P/SOLDAR UNISAFE ACUEDUCTO D= 160mm,pieza,282.9636923076923
MAT0818,CODO 45Ã‚Âº PVC CAMP P/SOLDAR UNISAFE ACUEDUCTO D= 200mm,pieza,434.0603076923077
MAT0845,CODO 90Ã‚Â° PVC ExJUNTA UNIFASE ACUEDUCTO D=75 mm,pieza,43.49046153846154
MAT0839,CODO 90Ã‚Â° PVC ExJUNTA UNIFASE ACUEDUCTO D=110 mm,pieza,76.03938461538462
MAT0840,CODO 90Ã‚Â° PVC ExJUNTA UNIFASE ACUEDUCTO D=160 mm,pieza,195.39692307692306
MAT0842,CODO 90Ã‚Â° PVC ExJUNTA UNIFASE ACUEDUCTO D=200 mm,pieza,705.4793846153847
MAT0843,CODO 90Ã‚Â° PVC ExJUNTA UNIFASE ACUEDUCTO D=250 mm,pieza,1519.3919999999998
MAT0835,CODO 90Ã‚Â° PVC DOBLE JUNTA UNIFASE ACUEDUCTO D=75 mm,pieza,1977.8166153846155
MAT0830,CODO 90Ã‚Â° PVC DOBLE JUNTA UNIFASE ACUEDUCTO D=110 mm,pieza,73.5753846153846
MAT0831,CODO 90Ã‚Â° PVC DOBLE JUNTA UNIFASE ACUEDUCTO D=160 mm,pieza,127.45599999999999
MAT0832,CODO 90Ã‚Â° PVC DOBLE JUNTA UNIFASE ACUEDUCTO D=200 mm,pieza,390.9833846153846
MAT0833,CODO 90Ã‚Â° PVC DOBLE JUNTA UNIFASE ACUEDUCTO D=250 mm,pieza,779.1926153846154
MAT0834,CODO 90Ã‚Â° PVC DOBLE JUNTA UNIFASE ACUEDUCTO D=315 mm,pieza,1664.32
MAT0829,CODO 90Ã‚Â° PVC CAMPANA P/SOLDAR UNIFASE ACUEDUCTO D=75 mm,pieza,2175.419076923077
MAT0826,CODO 90Ã‚Â° PVC CAMP. P/SOLDAR UNIFASE ACUEDUCTO D=110 mm,pieza,42.61169230769231
MAT0827,CODO 90Ã‚Â° PVC CAMP. P/SOLDAR UNIFASE ACUEDUCTO D=160 mm,pieza,82.13907692307693
MAT0828,CODO 90Ã‚Â° PVC CAMP. P/SOLDAR UNIFASE ACUEDUCTO D=200 mm,pieza,304.77784615384616
MAT0844,CODO 90Ã‚Â° PVC ExJUNTA UNIFASE ACUEDUCTO D=315 mm,pieza,620.1353846153846
MAT2528,TEE PVC JUNTA UNISAFE ACUEDUCTO DIAM.= 75 mm,pieza,50.03815384615385
MAT2524,TEE PVC JUNTA UNISAFE ACUEDUCTO DIAM. =110 mm,pieza,108.53661538461539
MAT2525,TEE PVC JUNTA UNISAFE ACUEDUCTO DIAM. =160 mm,pieza,271.36738461538465
MAT2523,TEE PVC JUNTA UNISAFE ACUEDUCTO DIAM. = 200 mm,pieza,434.1292307692308
MAT2526,TEE PVC JUNTA UNISAFE ACUEDUCTO DIAM. =250 mm,pieza,1736.4652307692309
MAT2527,TEE PVC JUNTA UNISAFE ACUEDUCTO DIAM.= 315 mm,pieza,3906.904615384615
MAT2519,TEE PVC CC UNISAFE ACUEDUCTO DIAM.= 75 mm,pieza,45.78215384615385
MAT2516,TEE PVC CC UNISAFE ACUEDUCTO DIAM.= 110 mm,pieza,104.79753846153847
MAT2517,TEE PVC CC UNISAFE ACUEDUCTO DIAM.= 160 mm,pieza,360.5193846153846
MAT2518,TEE PVC CC UNISAFE ACUEDUCTO DIAM.= 200 mm,pieza,360.5193846153846
MAT2567,TEE REDUCIDA PVC JTA.UNISAFE ACUEDUCTO DIAM.=110x75 mm,pieza,212.45538461538462
MAT2568,TEE REDUCIDA PVC JTA.UNISAFE ACUEDUCTO DIAM.=160x110 mm,pieza,516.699076923077
MAT2569,TEE REDUCIDA PVC JTA.UNISAFE ACUEDUCTO DIAM.=200x160 mm,pieza,1070.2030769230769
MAT2570,TEE REDUCIDA PVC JTA.UNISAFE ACUEDUCTO DIAM.=250x200 mm,pieza,1594.4664615384615
MAT2571,TEE REDUCIDA PVC JTA.UNISAFE ACUEDUCTO DIAM.=315x250 mm,pieza,2414.9784615384615
MAT2557,TEE REDUCIDA CC PVC UNISAFE ACUEDUCTO DIAM.= 110x75 mm,pieza,149.68369230769233
MAT2558,TEE REDUCIDA CC PVC UNISAFE ACUEDUCTO DIAM.= 160x110 mm,pieza,519.5076923076923
MAT1735,MACHON UNION JUNTA UNISAFE ACUEDUCTO D=75mm,pieza,73.40307692307692
MAT1729,MACHON UNION JUNTA UNISAFE ACUEDUCTO D=110mm,pieza,97.18153846153847
MAT1730,MACHON UNION JUNTA UNISAFE ACUEDUCTO D=160mm,pieza,194.39753846153846
MAT1731,MACHON UNION JUNTA UNISAFE ACUEDUCTO D=200mm,pieza,259.18523076923077
MAT1732,MACHON UNION JUNTA UNISAFE ACUEDUCTO D=250mm,pieza,341.1003076923077
MAT1733,MACHON UNION JUNTA UNISAFE ACUEDUCTO D=315mm,pieza,509.5655384615385
MAT1734,MACHON UNION JUNTA UNISAFE ACUEDUCTO D=400mm,pieza,543.9064615384615
MAT1727,MACHON REPARACION JTA. UNIVERSAL DESLIZ. D=75mm,pieza,9.856
MAT1721,MACHON REPARACION JTA. UNIVERSAL DESLIZ. D=110mm,pieza,43.49046153846154
MAT1722,MACHON REPARACION JTA. UNIVERSAL DESLIZ. D=160mm,pieza,137.12246153846152
MAT1723,MACHON REPARACION JTA. UNIVERSAL DESLIZ. D=200mm,pieza,505.9815384615385
MAT1724,MACHON REPARACION JTA. UNIVERSAL DESLIZ. D=250mm,pieza,940.1452307692308
MAT1725,MACHON REPARACION JTA. UNIVERSAL DESLIZ. D=315mm,pieza,1608.7163076923077
MAT1726,MACHON REPARACION JTA. UNIVERSAL DESLIZ. D=400mm,pieza,3219.1040000000003
MAT2141,REDUCCION JUNTA UNISAFE A PVC ACUEDUCTO 75x50mm,pieza,72.68446153846153
MAT2135,REDUCCION JUNTA UNISAFE A PVC ACUEDUCTO 110x75mm,pieza,75.38461538461539
MAT2136,REDUCCION JUNTA UNISAFE A PVC ACUEDUCTO 160x110mm,pieza,215.6430769230769
MAT2137,REDUCCION JUNTA UNISAFE A PVC ACUEDUCTO 200x160mm,pieza,727.5003076923076
MAT2138,REDUCCION JUNTA UNISAFE A PVC ACUEDUCTO 250x200mm,pieza,1158.459076923077
MAT2139,REDUCCION JUNTA UNISAFE A PVC ACUEDUCTO 315x250mm,pieza,1497.5606153846154
MAT2140,REDUCCION JUNTA UNISAFE A PVC ACUEDUCTO 400x315mm,pieza,1806.0947692307693
MAT2142,REDUCCION JUNTA UNISAFE B PVC ACUEDUCTO 110x75 mm,pieza,72.69661538461538
MAT2143,REDUCCION JUNTA UNISAFE B PVC ACUEDUCTO 160x110 mm,pieza,203.84
MAT2144,REDUCCION JUNTA UNISAFE B PVC ACUEDUCTO 200x160mm,pieza,698.6732307692308
MAT2145,REDUCCION JUNTA UNISAFE B PVC ACUEDUCTO 250x200mm,pieza,1108.955076923077
MAT2146,REDUCCION JUNTA UNISAFE B PVC ACUEDUCTO 315x250mm,pieza,1425.2603076923076
MAT2147,REDUCCION JUNTA UNISAFE B PVC ACUEDUCTO 400x315mm,pieza,1621.4326153846152
MAT2126,REDUCCION ExC UNISAFE PVC ACUEDUCTO 75x50mm,pieza,26.63876923076923
MAT2123,REDUCCION ExC UNISAFE PVC ACUEDUCTO 110x75mm,pieza,61.41046153846153
MAT2124,REDUCCION ExC UNISAFE PVC ACUEDUCTO 160x110mm,pieza,191.53723076923077
MAT2125,REDUCCION ExC UNISAFE PVC ACUEDUCTO 200x160mm,pieza,677.1864615384616
MAT2134,REDUCCION ExE UNISAFE PVC ACUEDUCTO 75x50mm,pieza,32.08369230769231
MAT2128,REDUCCION ExE UNISAFE PVC ACUEDUCTO 110x75mm,pieza,67.47569230769231
MAT2129,REDUCCION ExE UNISAFE PVC ACUEDUCTO 160x110mm,pieza,200.66953846153848
MAT2130,REDUCCION ExE UNISAFE PVC ACUEDUCTO 200x160mm,pieza,691.3329230769231
MAT2131,REDUCCION ExE UNISAFE PVC ACUEDUCTO 250x200mm,pieza,1099.6332307692307
MAT2132,REDUCCION ExE UNISAFE PVC ACUEDUCTO 315x250mm,pieza,1401.033846153846
MAT2133,REDUCCION ExE UNISAFE PVC ACUEDUCTO 400x315mm,pieza,1575.1507692307694
MAT2446,TAPON MACHO PVC ACUEDUCTO DIAM.= 75 mm,pieza,33.272615384615385
MAT2444,TAPON MACHO PVC ACUEDUCTO DIAM.= 110 mm,pieza,59.1876923076923
MAT2445,TAPON MACHO PVC ACUEDUCTO DIAM.= 160 mm,pieza,138.8110769230769
MAT2443,TAPON HEMBRA C PARA SOLDAR PVC ACUEDUCTO DIAM.= 75 mm,pieza,26.931692307692305
MAT2441,TAPON HEMBRA C PARA SOLDAR PVC ACUEDUCTO DIAM.= 110 mm,pieza,95.51015384615384
MAT2442,TAPON HEMBRA C PARA SOLDAR PVC ACUEDUCTO DIAM.= 160 mm,pieza,132.74584615384614
MAT0109,"ABRAZADERA SIMPLE ROSCA HEMBRA ACUEDUCTO N.P.T 50x1/2""",pieza,7.840000000000001
MAT0110,"ABRAZADERA SIMPLE ROSCA HEMBRA ACUEDUCTO N.P.T 50x3/4""",pieza,7.840000000000001
MAT0108,"ABRAZADERA SIMPLE ROSCA HEMBRA ACUEDUCTO N.P.T 50x1""",pieza,7.840000000000001
MAT0111,"ABRAZADERA SIMPLE ROSCA HEMBRA ACUEDUCTO N.P.T 75x1/2""",pieza,15.611076923076924
MAT0405,ARENA LAVADA (INCLUYE CARGA Y LOGISTICA),m3,208.49984615384616
MAT0114,"ABRAZADERA SIMPLE ROSCA HEMBRA ACUEDUCTO NPT 75x3/4""",pieza,15.611076923076924
MAT0112,"ABRAZADERA SIMPLE ROSCA HEMBRA ACUEDUCTO NPT 75 x 1""",pieza,15.611076923076924
MAT0104,"ABRAZADERA SIMPLE ROSCA HEMBRA ACUEDUCTO N.P.T 110x1/2""",pieza,29.58523076923077
MAT0103,"ABRAZADERA SIMPLE ROSCA HEMBRA ACUEDUC. NPT 110 x 3/4""",pieza,29.58523076923077
MAT0113,"ABRAZADERA SIMPLE ROSCA HEMBRA ACUEDUCTO NPT 110 x 1""",pieza,29.58523076923077
MAT0106,"ABRAZADERA SIMPLE ROSCA HEMBRA ACUEDUCTO N.P.T 160x1/2""",pieza,92.61538461538461
MAT0107,"ABRAZADERA SIMPLE ROSCA HEMBRA ACUEDUCTO N.P.T 160x3/4""",pieza,92.61538461538461
