Code,Staging Description,Matched Master Description,Staging Price,New Master Price
MAT0259,ALAMBRE DE PUAS GALV. CAL 14 L= 300 m,[NO MATCH],5.767692307692308,5.767692307692308
MAT1684,"LLAVE DE COMPUERTA D=1/2""",[NO MATCH],122.09323076923076,122.09323076923076
MAT0314,"ANCLA DE EXPANSION DE 70""","[FUZZY] ANCLA DE EXPANSION 70""",54.744,4.41
MAT1277,"EDF-9024 CONST.REVES.EXT.PARED.C/MORTERO CAL, A.RUSTICO",[NO MATCH],72.94984615384615,72.94984615384615
MAT1286,"EDF-9036 CONST.REV.INT.PARED.C/MORTERO CAL, A. LISO.",[NO MATCH],63.52046153846154,63.52046153846154
MAT1285,"EDF-9035 CONST.PROV.CONV.OFIC.S/FRISO,S/CIELO RASO.INC.",[NO MATCH],1384.959076923077,1384.959076923077
MAT1278,"EDF-9025 CIELO RASO FIBRA VIDRIO E=5/8"", JUNTA VISIBLE",[NO MATCH],167.4576923076923,167.4576923076923
MAT1279,EDF-9026 CAUCHO INTER. PAREDES. INC.FONDO ANTIALCALINO,[NO MATCH],34.30723076923076,34.30723076923076
MAT1267,"EDF-9014 I.E.TUB.HIER.GALV.S/ROSCA,EMT,EMBUTIDA. 1/2plg",[NO MATCH],24.975538461538463,24.975538461538463
MAT1291,"EDF-9044 CONST.PARED.BLOQ.CONCR.A.CORRIENTE, e= 15 CMS.",[NO MATCH],100.35538461538462,100.35538461538462
MAT1268,"EDF-9015 I.E. CAB/COBRE TRENZ.REVEST.TW, 12 AWG(2.32mm)",[NO MATCH],23.58646153846154,23.58646153846154
MAT1263,"EDF-9009 SUM.TRANS.COLOC.LAMINAS ACERO,ASFALTO,ALUMINIO",[NO MATCH],100.22676923076922,100.22676923076922
MAT1262,EDF-9008 MONTAJE ESTRUC.METALICA ACERO C/CONEX.SOLDADAS,[NO MATCH],5.988769230769231,5.988769230769231
MAT1266,EDF-9013 SUM.TRANS.COLOC.VENT.BASC.PERF.HIERRO Y VIDRIO,[NO MATCH],1399.031230769231,1399.031230769231
MAT1265,EDF-9012 SUM.TRANS.COLOC.PUERTAS LAM.SENC.HIERRO T.BAT,[NO MATCH],985.8763076923076,985.8763076923076
MAT1264,"EDF-9011 CONST.REVEST.PISOS C/MORTERO CEMENTO, A. LISO",[NO MATCH],56.996,56.996
MAT1260,"EDF-9006 CONCRETO 200, A.CORRIENTE, CONST.BASES PAVIM.",[NO MATCH],975.4047692307691,975.4047692307691
MAT1276,EDF-9023 CONSTRUCCION SANITARIO DE OFICINA,[NO MATCH],1129.8216923076925,1129.8216923076925
MAT1261,EDF-9007 SUM.FAB.LIMP.Y SIST.PROTEC.ESTR.SOL.ESPECIFIC.,[NO MATCH],28.82307692307692,28.82307692307692
MAT1269,"EDF-9016 PTS.AGUA.CLARAS,HIER.GALV.ISO II,150psi,1/2plg",[NO MATCH],128.7336923076923,128.7336923076923
MAT1468,GRIFERIA P/DUCHA MANILLA CROSS FUNDICION PACIFICO,[NO MATCH],423.9987692307692,423.9987692307692
MAT1275,"EDF-9022 SUM.TRANS.INST.CENT.PISO CIRC.ESTANDAR,BRONCE",[NO MATCH],114.85907692307693,114.85907692307693
MAT1270,"EDF-9017 PTS.AGUA.RES.PVC,2plg,e=3.2mm AMB.INT.REC.SANI",[NO MATCH],60.97246153846154,60.97246153846154
MAT1280,"EDF-9028 CONST.PROV.CONV.DEPOSITOS,INC.ACOMETIDA PROV.",[NO MATCH],1125.1593846153846,1125.1593846153846
MAT1274,"EDF-9021 SUM.TRANS.INST.W.C.ASIENTO,TANQ.BAJO,DES.PISO",[NO MATCH],2600.993692307692,2600.993692307692
MAT1273,EDF-9020 I.S.SUM.TRANS.INST.LAVAMANOS/COLGAR/UNA LLAVE,[NO MATCH],1277.1483076923078,1277.1483076923078
MAT1272,"EDF-9019 TUB.VENT.P.V.C.LIVIANO,2"".EMBUT.INC.CONEXIONES",[NO MATCH],20.31384615384616,20.31384615384616
MAT1271,"EDF-9018 PTS.AGUA.RES.PVC,4plg,e=3.2mm AMB.INT.REC.SANI",[NO MATCH],106.24476923076922,106.24476923076922
MAT1281,"EDF-9029 SUM.TRANS.INST.URINARIO,C/SIFON CROM.C/LLAVE",[NO MATCH],1427.161076923077,1427.161076923077
MAT1460,GRAPAS CALIBRE 5/8 x 16 SIN CABEZA (CAJA 25 Kgf),[NO MATCH],94.20092307692308,94.20092307692308
MAT1737,MADERA CUARTON AURORA 5 X 10 cm,[FUZZY] MADERA CUARTON AURORA 5 X 10 CM (NUEVO/ ,7016.67,363.67
MAT2063,"POSTE DE UÃƒâ€˜AS METALICO PARA CERCAS h=2,10 m e= 1,5 mm",[NO MATCH],127.72261538461538,127.72261538461538
MAT2069,"POSTE METALICO PARA CERCAS D= 2"" h=2,20 m",[NO MATCH],242.9647692307692,242.9647692307692
MAT2919,"TUBO GALV.CALIEN. P/CERCA D=2"" L=6.60m e=1.10 mm",[NO MATCH],90.51630769230768,90.51630769230768
MAT1259,"EDF-9005 CONCRETO 150, A.CORRIENTE, BASES Y ESCALONES",[NO MATCH],935.7696923076924,935.7696923076924
MAT1753,"MALLA GALVANIZADA CAL. 09-60-25 h=1,80 m ROLLO D/25 m",[NO MATCH],133.15615384615384,133.15615384615384
MAT0546,"BRAZO ALUM. SENCILLO P/CERCA CICLON D= 2 1/4""",[NO MATCH],33.884307692307694,33.884307692307694
MAT0263,ALAMBRE LISO GALVANIZADO CAL 18/ ROLLO DE 50 Kgf,[NO MATCH],105.01215384615384,105.01215384615384
MAT1090,"CRUCETA (TE) P/FIJACION TUBO CERCA 2"" x 1.1/4"" +2 TORN.",[NO MATCH],75.94153846153846,75.94153846153846
MAT2658,TRANSPORTE DE MATERIALES (10%),[NO MATCH],0.0015384615384615,0.0015384615384615
MAT1754,"MALLA GALVANIZADA CAL.10-60-25 h=1,80 m ROLLO DE 25 m",[NO MATCH],126.8929230769231,126.8929230769231
MAT1755,"MALLA GALVANIZADA CAL.11-60-25 h=1,80m ROLLO DE 25m",[NO MATCH],77.536,77.536
MAT1255,"EDF-9001 CONCRETO 200, A.CORR., MACHONES, VIGAS CORONA",[NO MATCH],1297.398153846154,1297.398153846154
MAT0688,CAL EN PASTA 7.00 Kgf/saco,[NO MATCH],7.458461538461538,7.458461538461538
MAT0407,ARENA LIGADA-POLVILLO (INCLUYE CARGA Y LOGISTICA),[NO MATCH],176.09476923076923,176.09476923076923
MAT0233,"AGUA-TARIFA INDUSTRIAL TIPO ""B""",[NO MATCH],0.0461538461538461,0.0461538461538461
MAT0494,BLOQUE PARED ENTERO NORMAL CONCRETO 15x20x40 cm.,[NO MATCH],3.4224615384615387,3.4224615384615387
MAT1257,EDF-9003 SUM.TRANS.PREP.COLOC.ACERO REFUE. CABILLA 3/8,[NO MATCH],31.484461538461535,31.484461538461535
MAT1256,"EDF-9002 ENCOFRADO MADERA RECTO, A.CORRIENTE, MACHONES",[NO MATCH],142.25199999999998,142.25199999999998
MAT0723,CEMENTO GRIS TIPO I ULTRA A GRANEL,[NO MATCH],166.15384615384616,166.15384615384616
MAT1258,EDF-9004 SUM.TRANS.PREP.COLOC.ACERO REFUE. CABILLA 1/2,[NO MATCH],23.22646153846154,23.22646153846154
MAT0495,BLOQUE PARED ENTERO NORMAL CONCRETO 20x20x40 cm.,[NO MATCH],4.5440000000000005,4.5440000000000005
MAT0476,"BISAGRA GALV. P/PORTON CERCA MALLA CICLON 1-1/2""",[NO MATCH],96.11646153846154,96.11646153846154
MAT2920,"TUBO GALV.CALIENTE D= 2"", L=6.60m (CERCAS) e=1.10 mm",[NO MATCH],89.06723076923076,89.06723076923076
MAT1322,"ELECTRODO E-6013 1/8"" (3.32mm) LONG. 350 mm",[NO MATCH],75.14415384615384,75.14415384615384
MAT0057,"ABRAZADERA (OMEGA) MOROCHA D=3"" GALV/ LIV / C.TORN.",[NO MATCH],9.492153846153846,9.492153846153846
MAT2946,"TUBO H.G. ISO D=3"" L= 6.40 m",[NO MATCH],130.5353846153846,130.5353846153846
MAT2032,"PLETINA NEGRA 3/4""x3/16"" L=1.8 m. P/CERCA CICL0N",[NO MATCH],17.80076923076923,17.80076923076923
MAT1883,PASADOR VERTICAL PORTON P/COLOCACION CANDADO H.G.,[NO MATCH],54.72123076923077,54.72123076923077
MAT1882,PASADOR HORIZONTAL PORTON P/COLOCACION CANDADO H.G.,[NO MATCH],54.158307692307694,54.158307692307694
MAT3009,"TUBO PVC ExE AGUA FRIA ASTM D=4"" L=6,00 m",[NO MATCH],72.57307692307693,72.57307692307693
MAT1665,LIMPIADOR REMOVEDOR PAVCO (ENV. 760 Grms.),[NO MATCH],77.59015384615384,77.59015384615384
MAT1513,INTERRUPTOR TQC 2P 30A 120/240V 10KA (ATORNILLABLE),[NO MATCH],77.66676923076923,77.66676923076923
MAT0624,CABLE TTU # 10 AWG/MCM (90Ã‚Â° C 600 V),[NO MATCH],63.26815384615385,63.26815384615385
MAT3002,"TUBO PVC ExE AGUA FRIA ASTM D=1-1/2"" L=6,00 m",[NO MATCH],14.79553846153846,14.79553846153846
MAT2354,SOLDADURA LIQUIDA PVC-PAVCO A/F ENV. 1/4 Gal,[NO MATCH],51.744,51.744
MAT1383,FILTRO NYLON P/POZO,[NO MATCH],243.6507692307692,243.6507692307692
MAT0935,"COMPACTMEX fÃ‚Â´c = 210 Kgf/cm2 As= 7,5""",[NO MATCH],508.24584615384623,508.24584615384623
MAT0529,BOMBA ROTO PUMP 1 1/2 HP,[NO MATCH],2505.255692307692,2505.255692307692
MAT2757,"TUBERIA EMT D=1"" L= 3.00 m",[NO MATCH],19.57307692307692,19.57307692307692
MAT0687,"CAJETIN RECTAN. 4x2"" HUECOS 1/2""o 3/4""",[NO MATCH],41.810769230769225,41.810769230769225
MAT0684,"CAJETIN CUADRADO DE 5""x5""(HUECO 1"")",[NO MATCH],40.178,40.178
MAT0362,"ANILLO E.M.T. D=1""","[FUZZY] ANILLO EMT D=1""",7.691846153846154,3.28
MAT0994,"CONECTOR E.M.T. D=1""","[FUZZY] CONECTOR EMT D = 1"" #",6.788461538461538,3.55
MAT0636,CABLE TW # 12 AWG/MCM (THHN 90Ã‚Â° C 600 V),[NO MATCH],17.187846153846156,17.187846153846156
MAT0640,CABLE TW # 6 AWG/MCM (THHN 90Ã‚Â° C 600 V),[NO MATCH],53.71892307692308,53.71892307692308
MAT1168,"CURVA E.M.T. D=1""","[FUZZY] CURVA EMT D=1""",25.869076923076925,7.8
MAT1688,"LLAVE DE COMPUERTA D=3/4""",[NO MATCH],171.19415384615385,171.19415384615385
MAT2487,"TEE H.G. D=3/4""","[FUZZY] TEE HG  D=3/4""",10.343076923076922,4.51
MAT2575,TEFLON (ROLLO 1/2 x 12 m),[NO MATCH],8.987230769230768,8.987230769230768
MAT2947,"TUBO H.G. ISO D=3/4"" L= 6.40 m",[NO MATCH],23.96153846153846,23.96153846153846
MAT0369,"ANILLO H.G. D= 3/4""","[FUZZY] ANILLO HG  D=3/4""",6.582,2.72
MAT0905,"CODO H.G. 90Ã‚Â° D=3/4""",[NO MATCH],8.776000000000002,8.776000000000002
MAT3012,"TUBO PVC AN NORMAL 4"" L= 3.00 m",[NO MATCH],15.43953846153846,15.43953846153846
MAT3206,"YEE PVC P/AGUAS NEGRAS D=4""",[NO MATCH],15.64276923076923,15.64276923076923
MAT0914,"CODO PVC AGUAS NEGRAS 45Ã‚Â° D=4""",[NO MATCH],8.317846153846153,8.317846153846153
MAT1918,PEGAMENTO P/TUBOS PVC TANGIT ENVASE 950 ml,[NO MATCH],40.11492307692308,40.11492307692308
MAT1663,LIMPIADOR DE TUBOS PVC TANGIT PAVCO,[FUZZY] LIMPIADOR DE TUBERIA PVC TANGIT,25.12876923076923,7.69
MAT1246,"DISCO ABRASIVO PARA ESMERIL 7""","[EXACT DESC] DISCO ABRASIVO PARA ESMERIL 7""",124.4336923076923,16.07
MAT0128,ACETILENO INDUSTRIAL (CILINDRO DE Cap= 6 kgf),[NO MATCH],207.5106153846154,207.5106153846154
MAT1866,OXIGENO INDUSTRIAL (CILINDRO DE Cap= 6 kgf),[NO MATCH],135.34507692307693,135.34507692307693
MAT1795,"MATERIAL P/DEMARCACION (NYLON,CAL,CABILLA Y ALAMBRE)",[NO MATCH],8.209999999999999,8.209999999999999
MAT0797,"CLAVOS DE 4"" CAL.8 caja= 25 Kgf",[NO MATCH],23.95184615384615,23.95184615384615
MAT1746,MADERA TABLERO D/AURORA/CHAPA FINA/DIM=1.62X2.20m,[NO MATCH],7378.782307692308,7378.782307692308
MAT1986,"PIEDRA TRITURADA DE 1""",[NO MATCH],208.49984615384616,208.49984615384616
MAT1455,GRANZON,[NO MATCH],142.21061538461538,142.21061538461538
MAT0368,"ANILLO H.G. D= 1/2""","[FUZZY] ANILLO HG  D=1/2""",5.014923076923077,2.18
MAT0902,"CODO H.G. 90Ã‚Â° D=1/2""",[NO MATCH],5.737846153846154,5.737846153846154
MAT2483,"TEE H.G. D=1/2""","[FUZZY] TEE HG  D=1/2""",8.149076923076924,3.28
MAT2941,"TUBO H.G. ISO D= 1/2"" L= 6.40 m",[NO MATCH],17.645076923076925,17.645076923076925
MAT2940,"TUBO H.G. ISO D= 1"" L= 6.40 m",[NO MATCH],33.690769230769234,33.690769230769234
