CodMat,Descri,CosMat
ACE876,"PERFIL DE ACERO IPE 500 MM 90,7 KG/M",3.07
ACE877,PERFIL DE ACERO IPE 550 MM 106 KG/M,3.07
ACE878,PERFIL DE ACERO IPE 600 MM 122 KG/M,3.07
ACE879,"VIGA/PERFIL ACERO UPE 80 MM 7,9 K/M",2.07
ACE880,"VIGA/PERFIL ACERO UPE 100 MM 9,82 K/M",2.18
ACE881,"VIGA/PERFIL ACERO UPE 120 MM 12,1 K/M",2.18
ACE882,"VIGA/PERFIL ACERO UPE 140 MM 14,5 K/M",2.07
ACE883,VIGA/PERFIL ACERO UPE 160 MM 17 K/M,2.07
ACE884,"VIGA/PERFIL ACERO UPE 180 MM 19,7 K/M",2.07
ACE885,"VIGA/PERFIL ACERO UPE 200 MM 22,8 K/M",2.72
ACE886,"VIGA/PERFIL ACERO UPE 220 MM 26,6 K/M",2.07
ACE887,"PERFIL ACERO UPN 120 (13,4 KG/M)",28.62
ACE888,CESTA GAVION GALV. Y PLASTIF. DOBLE TORS,26.45
ACE889,CABILLA ESTRIADA FY=2800 KGF/CM2 N40,1.88
ACE890,"CABILLA ESTRIADA D=1/2"" FY=2800 KGF/CM2 ",1.88
ACE891,"LAMINA LISA GALVANIZADA CALIBRE 26 / 2,4",45.18
ACE892,"LAMINA LISA GALVANIZADA CALIBRE 26 / 2,0",33.35
ACE893,"CLAVO DE ACERO DE 1""",0.39
ACE894,"GUAYA DE ACERO D=1/4"" (6,35 MM) 0,16 KG/",3.97
ACE895,PERNO D= 5/8 CON BARRA PARA ANCLAJE Y RO,24.92
ACE896,"BARRA ROSCADA ACERO GALVANIZADO 5/16"" 0,",4.41
ACE897,TUERCA Y ARANDELA P/BARRA ROSCADA ACERO ,1.08
ACE898,"RAMPLUG HIERRO P/BARRA ROSCADA D=5/16""",4.08
ACE899,"VIGA/PERFIL ACERO UPE 240 MM 30,2 K/M",2.07
ACE900,"MALLA ELECTROSOLDADA 2""X2"" C-16 H=0,9M G",4.97
ACE901,"GUAYA DE ACERO D= 5/16"" (7,94 MM) 0,24 K",6.94
ACE917,"ANGULO ACERO INOXIDABLE 1 1/2""  E= 3/16""",31.95
ACE918,ANGULO ACERO INOXIDABLE,12.13
ACE919,LAMINA LOSACERO CAL 21 ANCHO UTIL 78CM -,7.8
ACE920,ALCANTARILLA MET. ACERO GALV. ARMCO TIPO,4.49
ACE921,ALCANTARILLA MET MINI MULTIPLATE 68 CIRC,3.87
ACE922,"ALCANTARILLA MET GALV D=3,99M C-5 MP152 ",3420.79
ACE923,"ALCANTARILLA MET GALV D=3,99M C-3 MP152 ",4056.51
ACE924,"ALCANTARILLA MET GALV D=3,99M C-1 MP152 ",4692.16
ACE925,"ALCANTARILLA MET. GALV. D= 28"" CAL 14 MP",224.09
ACE926,"ALCANTARILLA MET. GALV. D= 28"" CAL 12 MP",272.12
ACE927,MALLA ELECTROSOLDADA GALVANIZADA,5.54
ACE928,"ALCANTARILLA MET. GALV. D= 28"" CAL 10 MP",373.18
ACE929,"ALCANTARILLA MET. GALV. D= 28"" CAL-8 MP6",421.47
ACE930,LAMINA DE ACERO INOXIDABLE,9.37
ACE931,"ALCANTARILLA MET ABOV 10-N L=1.83M F=1,1",878.09
ACE932,"ALCANTARILLA MET GALV D=7,71M C-1 MP152 ",9000.16
ACE933,"ALCANTARILLA MET GALV D=6,78M C-3 MP152 ",6837.01
ACE934,"ALCANTARILLA MET GALV D=6,62M C-5 MP152 ",5643.39
ACE935,"ALCANTARILLA MET GALV D=5,85M C-8 MP152 ",4038.19
ACE936,"ALCANTARILLA MET GALV D=4,92M C-12 MP152",2332.33
ACE937,"MALLA ELECTROSOLDADA 2""X4"" C-16 H=0,91M ",3.28
ACE938,"MALLA ELECTROSOLDADA 2""X4"" C-16 H=0,91M ",4.41
ACE939,"MALLA ELECTROSOLDADA 1/2""X1"" C-16 H=0,91",4.97
ACE940,"MALLA ELECTROSOLDADA 1/2""X1"" C-16 H=0,91",5.54
ACE941,ALAMBRE DE PUAS GALVANIZADO,5.86
ACE942,TORNILLO P/TABIQUES DRY WALL,6.62
ACE943,MARCO Y TAPA HIERRO FUNDIDO HF PESADO B.,682.94
ACE944,"TUBO ACERO INOXIDABLE DECORATIVO D=1"" E=",10.49
ACE945,"TORNILLO 3/8"" X 3"" P/MOBILIARIO",3.28
ACE946,"TUBO ACERO INOXIDABLE DECORATIVO D=2"" E=",24.26
ACE947,TUBO ACERO INOXIDABLE DECORATIVO,10.08
ACE948,ESPARRAGO C/TUERCA D=3/4 X 11CM ACERO IN,7.69
ACE949,ESPARRAGO C/TUERCA D=3/4 X 8CM ACERO INO,5.54
ACE950,"TUBO DE ACERO-CARBONO SHC 80 D=2"" E=5,54",55.07
ACE951,"TUBO ACERO-CARBONO SCH80 D=3"" E=7,62MM 1",111.88
ACE952,"TUBO ACERO-CARBONO SCH80 D=6"" E=10,97MM ",211.06
ACE953,TUBO ACERO AL CARBONO C/COSTURA SCHEDULE,6.07
ACE954,"TUBO ACERO-CARBON SCH80 D=2 1/2"" E=7,01M",60.3
ACE955,"TUBO ACERO-CARBONO D=16"" SCH 10 E=6,35MM",310.76
ACE956,"TUBO ACERO-CARBO CC D=16"" SCH40 E=12,7MM",611.6
ACE957,"TUBO ACERO-CARBONO D=16"" SCH 30 E=9,52MM",214.88
ACE958,"TUBO ACERO-CARBONO CC SCH 10 D=20"" 78,55",288.72
ACE959,"TUBO ACERO-CARBONO CC SCH 30 D=20"" 155,1",769.2
ACE960,"FLEJE DE ACERO INOXIDABLE ANCHO=3/8"" L=1",52.49
ACE961,"HEBILLA ACERO INOXIDABLE FLEJE A= 3/8"" 9",0.55
ACE962,S/P/C ACERO REFUERZO - CABILLA RAT 4200 ,3.65
ACE963,"PERRO ACERO GALVANIZADO AMARRE D=1/2""",4.41
ACE964,"ABRAZADERA UNIVERSAL 3-1/2"" A 4"" X 3/8""",7.59
ACE965,S/P/C MALLA ELECTROSOLDADA EN LOSAS,4.18
ACE967,S/P/C ACERO REFUERZO RAT 4200 KG/CM2 D=1,4.63
ACE968,S/I ESCALERA VERTICAL C/PROTEC DORSAL PE,317.38
ACE969,PERGOLA ENSOMBRAMIENTO LARUS 'SOMBRA' 3X,1322.37
ACE970,"REJILLA ACEROGRILL 1-1/2""X3/16"" GALV G1 ",142.16
ACE971,S/I PLATAFORMA CAMINERIA REJILLA ACEROGR,154.29
ACE972,BARRA ROSCADA DE ACERO GALVANIZADO,9.88
ACE973,GUAYA DE ACERO,13.76
ACE974,TUBO GALVANIZADO PARA CERCAS,6.62
ACE975,LAMINA ALUMINIO ACANALADA 0.7 MM ACAB.ST,27.55
ACE976,CONCERTINA-TIPO ARPON GALVANIZADA,12.13
ACE977,CONCERTINA-TIPO ARPON ACERO INOXIDABLE,33.09
ACE978,"PERNO/RAMPLUG HILTI D=1/2"" X 5""",8.12
ACE979,"BARRA CUADRADA  LISA 1/2"" X 1/2"" (12 MM-",2.18
ACE980,"BARRA CUADRADA LISA 5/8"" X 5/8"" (16 MM- ",2.18
ACE981,"BARRA CUADRADA LISA 3/4"" X 3/4"" (20 MM- ",2.18
ACE982,"BARRA ACERO REDONDA 1"" (25 MM-3,65 K/M)",2.07
ACE983,"BARRA ACERO REDONDA 1/2"" (12,7 MM-0,89 K",2.07
ACE984,"BARRA ACERO REDONDA 5/8"" (16MM - 1.58K/M",2.07
ACE985,"BARRA ACERO REDONDA 3/8"" (10MM - 0.62K/M",2.07
ACE986,MARCO/TAPA HF ELECTRICIDAD 40 X 30 M PES,198.38
ACE987,MARCO Y TAPA HF 40 X 40 CM ELECTRICIDAD,189.55
ACE988,LAMINA TECHO ALUMINIO ACANALADA 0.8 MM X,30.85
ACE989,"TUBO ACERO-CARBONO CC SCH40 D=4"" E=6,02M",91.46
ACE990,"TUBO ACERO-CARBONO CC SCH40 D=8"" E=8,18M",234.44
ACE991,"TUBO ACERO-CARBON CC SCH40 D=10"" E=9,27M",332.18
ACE992,"TUBO ACERO-CARBO CC SCH40 D=12"" E=10,31M",439.11
ACE993,"TUBO ACERO-CARBONO CC SCH 40 D=1"" E=3,38",16.5
ACE994,"TUBO ACERO-CARBONO SC SCH 40 D=1"" E=3,38",28.47
ACE995,"TUBO ACERO-CARBONO SC SCH 40 D=2"" E=3,91",53.47
ACE996,"TUBO ACERO-CARBONO SC SCH40 D=4"" E=6,02M",134.89
ACE997,"TUBO DE ACERO-CARB SC SCH40 D=3"" E=5,49M",94.77
ACE998,"ANGULO ACERO 65 X 65 X 8MM 7,73 K/M",3.23
ACE999,"LAMINA ESTRIADA H.N. 4,5 MM 1,2 X 2,4 M ",2.99
ACEA01,"REJILLA ACEROGRILL 1-1/2""X3/16"" GALV G2 ",162.58
ACEA02,"PELDAÑO REJILLA ACERO GRILL G-1 0,9 X 0,",49.54
ACEA03,TUERCA Y ARANDELA P/BARRA ROSCADA ACERO ,2.18
ACEA04,TUERCA Y ARANDELA P/BARRA ROSCADA ACERO ,1.29
ACEA05,TUERCA Y ARANDELA P/BARRA ROSCADA ACERO ,0.85
ACEA06,"ANGULO ACERO INOXIDABLE 2"" E= 1/4"" 4,74 ",61.72
ACEA07,"ANGULO ACERO INOXIDABLE 1 1/2"" E=1/4"" 3,",36.68
ACEA08,BARRA ROSCADA ACERO A-36 C/TUERCA Y ARAN,14.31
ACEA09,PERNOS DE ANCLAJE DE ACERO A36,15.4
ACEA10,"TORNILLO, TUERCA, ARANDELA ACERO A36",15.4
ACEA11,PERFIL DE ACERO ELECTROSOLDADO,2.84
ACEA12,PERFIL DE ACERO LAMINADO NACIONAL,2.61
ACEA13,PERFIL DE ACERO SOLDADO NACIONAL,3.07
ACEA14,TUBO DE ACERO TUBULAR NACIONAL,2.84
MZ0488,MORTERO ,93.67
ACEA15,"PERNO ACERO NEGRO A325  5/8"" X 2"" C/TUER",3.28
ACEA16,"PERNO ACERO NEGRO A325  5/8"" X 4"" C/TUER",6.07
ACEA17,"PERNO ANCLAJE H.N. 1"" / 0,9 +0.1 M C/TUE",16.5
ACEA18,"LAMINA ACERO EN ""L"" GALV C/ORIFICIOS P/T",0.53
ACEA19,"MALLA ACERO EXPANDIDA HUECO 3/8"" C-20",46.29
ACEA20,"MALLA ACERO EXPANDIDA HUECO 1"" C-16",49.76
ACEA21,"MALLA ACERO EXPANDIDA HUECO 1/2"" C-20",35.23
ACEA22,"PERNO/RAMPLUG EXPANSION D= 5/8""  X 4""",7.15
ACEA23,"PERNO/RAMPLUG TURBO EXPANSION 5/8"" ACERO",8.81
ACEA24,"ANGULO ACERO INOXIDABLE 2"" E=1/8""",27.55
ACEA25,"ANGULO ACERO INOXIDABLE 2"" E=3/16""",41.31
ACEA26,"ANGULO ACERO INOXIDABLE 1"" E=1/4""",23.12
ACEA27,"PLETINA DE ACERO INOXIDABLE 1 1/2"" X 1/8",10.49
ACEA28,"PLETINA DE ACERO INOXIDABLE 2"" X 1/8""",12.8
ACEA29,"PLETINA DE ACERO INOXIDABLE 2"" X 1/4""",23.35
ACEA30,"BARRAS EN ACERO INOXIDABLE 1 1/2""",90.36
ACEA31,"TUBO ACERO INOXIDABLE DECORATIVO D=4"" E=",39.42
ACEA32,"TUBO ACERO INOXIDABLE DECORATIVO D=4"" E=",40.45
ACEA33,PERFIL ACERO VHICOA FABRICA NACIONAL C/L,2.81
ACEA34,PERFILES W-S (FABRICADO POR VHICOA),2.81
ACEA35,PERFILES HE-S-B (FABRICADO POR VHICOA),2.81
ACEA36,PERFILES HP-S (FABRICADO POR VHICOA),2.81
ACEA37,PERFILES WT-S (FABRICADO POR VHICOA),2.81
ACEA38,PERFILES REDONDEADO R-S (FABRICADO POR V,2.81
ACEA39,TUBERIA REDONDEADA T-S (FABRICADO POR VH,2.81
ACEA40,MARCO/TAPA HF ELECTRICIDAD 40 X 30 M LIV,187.34
ACEA41,GRAPA METALICA P/MADERA/DRYWAL PLYCEMX10,33.09
ACEA42,"CLAVO DE ACERO DE 2"" P/FIJAR LAMINAS MAD",0.39
ACEA43,"MALLA ELECTROSOLDADA 2""X2"" C-12",9.42
ACEA44,"MALLA ELECTROSOLDADA 1"" X 1"" C-17",8.72
ACEA45,"REJILLA ACEROGRILL 1-1/2""X3/16"" G1 SEP 1",137.03
ACEA46,"REJILLA ACEROGRILL 1-1/2""X3/16"" G2 SEP 1",145.32
ACEA47,"CLAVOS ACERO DULCE L= 3 1/2"" P/MADERA",6.29
ACEA48,"CLAVOS ACERO RANURADO-ESTRIADO L= 3 1/2""",7.15
ACEA49,CLAVOS ACERO RANURADO /ESTRIADO,7.15
ACEA50,ALAMBRE DE ACERO INOXIDABLE,39.67
ACEA51,ALAMBRE DE ACERO INOXIDABLE CAL 22,40.77
ACEA52,ALAMBRE DE ACERO INOXIDABLE CAL 18,40.77
ACEA53,ANCLAJE HILTI,11.02
ACEA54,SOPORTES FABRICADOS EN ACERO SEGUN DISEÑ,6.62
ACEA55,PLANCHA ACERO ESTRUCTURAL A-36 SIN CORTE,3.28
ACEA56,"PLANCHA ACERO A-36 FABRICADA E=1/4"" - 1/",9.88
ACEA57,SOPORTES ACERO FABRICADO CON PLETINA A-3,6.62
ACEA58,ACERO ESTRUCTURAL /PERFILES,2.18
ACEA59,ALAMBRE ACERADO - INOXIDABLE,16.5
ACEA60,ALAMBRE LISO GALVANIZADO/ROLLO 1 KG,6.62
ACEA61,PLANCHA ACERO GALV. EMBEBIDA C/ANCLAJES,13.22
ACEA62,PLANCHA ACERO GALVANIZADA EMBEBIDA ANCLA,27.55
ACP001,PERFIL ACERO IPN 220 (31.10 KG/M),3.28
ACP002,PERFIL ACERO IPN 260 (41.9 KG/M),2.72
ACP003,PERFIL ACERO IPN 280 (47.9 KG/M),2.89
ACP004,PERFIL ACERO IPN 320 (61 KG/M),2.72
ACP005,PERFIL ACERO IPN 340 (68 KG/M),2.72
ACP006,PERFIL ACERO IPN 340 (68 KG/M),2.72
ACP007,PERFIL ACERO IPN 380 (84 KG/M),2.72
ACP008,PERFIL ACERO IPN 400 (92.40 KG/M),2.72
ACP009,PERFIL ACERO IPN 425 (104 KG/M),2.72
ACP010,PERFIL ACERO IPN 450 (115 KG/M),2.72
ACP011,PERFIL ACERO IPN 475 (128 KG/M),2.72
ACP012,PERFIL ACERO IPN 500 (141 KG/M),2.72
ACP013,PERFIL ACERO IPN 550 (166 KG/M),2.72
ACP014,PERFIL ACERO IPN 600 (199 KG/M),2.72
ACP015,PERFIL ACERO UPL 80 (6.08 KG/M),3
ACP016,PERFIL CONDUVEN ECO 260 X 260 X 11MM (82,2.96
ACP017,PERFIL CONDUVEN ECO 350 X 170 E=11MM 82.,2.96
AGR001,AGUA USO INDUSTRIAL RED HIDROVEN,0.21
AGR002,ARENA LIGADA POLVILLO #,42.94
AGR003,AGUA SUMINISTRADA EN CAMION CISTERNA O T,11.02
AGR004,ARENA*  AMARILLA PMVP SIN TRANSPORTE,38.58
AGR005,ARENA - ARROCILLO,35.23
AGR006,MATERIAL GRAVA-ARENA CARGA SISTEMA FILTR,17.64
AGR007,ARENA PARA  RELLENO,12.13
AGR008,ARENA*  LAVADA PMVP SIN TRANSPORTE,37.45
AGR009,ARENA PARA RELLENO DE ZANJAS / COLOCAR T,14.31
AGR010,ARENA*  LIGADA POLVILLO PMVP SIN TRANSPO,38.58
AGR011,ARENA PARA FRISO TIPO MARACAY O SIMILAR#,37.24
AGR012,PIEDRA PICADA GRADADA (BASES Y MEZCLA AS,30.85
AGR013,PIEDRA*  PICADA DE CANTERA SITIO EXPLOTA,27.55
AGR014,PIEDRA NATURAL P/GAVIONES-ORNAMENTO (20 ,27.55
AGR015,PIEDRA PICADA PARA CONCRETO #,45.17
AGR016,GRAVA NRO. 3 PARA POZOS,41.85
AGR017,PIEDRA PICADA DE CANTERA PARA CONCRETO,37.45
AGR018,ARENA LAVADA #,45.17
AGR019,ARENA*  PARA FRISO PMVP SIN TRANSPORTE #,24.26
AGR020,POLVO DE PIEDRA / POLVILLO SCO 25 KG,2.72
AGR021,RIPIO DE 1RA,12.13
AGR022,GRAVA MARINA Nº 2,12.8
AGR023,POLVO DE MARMOL SCO DE 40 KG,33.09
AGR024,GRAVA EN CANTERA,11.02
AGR025,POLVO DE PIEDRA / POLVILLO,41.85
AGR026,POLVO DE ARCILLA,18.73
AGR027,POLVILLO EN SACO / BOLSA 25 KG,3.28
AGR028,POLVILLO LIGADO EN SACO / BOLSA,2.72
AGR029,PIEDRA BRUTA,25.36
AGR030,MARMOL POR M DE BASE/TOPE (65 M),319.57
AGR031,MARMOL PARA RECUBRIMIENTOS,100.28
AGR032,MATERIAL INTEGRAL 100% DE CANTERA,9.88
AGR033,ARENA*  LAVADA EN SITIO DE EXPLOTACION P,33.09
AGR034,ARENA AMARILLA,49.54
AGR035,AGREGADO ALIVEN EN SACO 50 LT PARA FRISO,4.41
AGR036,POLVILLO DE PIEDRA EN BOCA DE PLANTA,34.15
AGR037,ARENA PARA PREPARACION DE ARENA-ASFALTO,33.09
AGR038,PAGO DE ROYALTY POR EXTRACCION DE MATERI,3.28
AGR039,MATERIAL RELLENO EN PRESTAMO S/TRANSPORT,3.28
AGR040,ARENA LAVADA,44.07
AGR041,ARROCILLO EN BOCA DE PLANTA SIN TRANSPOR,26.45
AGR042,ARENA SILICE SECA PARA SAND BLASTING #,104.68
AGR043,"BALDOSA DE MARMOL TRAVERTINO E= 1,5",105.8
AGR044,AGREGADO ALIVEN FINO,22.02
AGR045,AGUA USO HUMANO/RES. (CAMION CISTERNA/TA,0.1
AGR046,POLVO DE MARMOL SCO DE 10  KG,16.28
AGR047,POLVO DE MARMOL SCO DE 30 KG,25.36
AGR051,ARENA AMARILLA,44.73
AGR052,GRANZA,23.12
AGR053,CANTO RODADO,60.63
AGR055,PIEDRA PICADA COLOR BLANCO ORNAMENTAL,52.91
AGR056,ARENA CERNIDA#,31.95
AGR057,ARENA GRUESA,24.26
AGR058,AGREGADO ALIVEN EN SACO,4.41
AGR059,AGREGADO ALIVEN GRUESO,20.91
AGR060,ARENA LAVADA EN SACO / BOLSA-SCO 25 KG,2.72
AGR061,ARENA LIGADA EN SACO / BOLSA,3.28
AGR062,PIEDRA PICADA  EN BOLSA  / SACO 25 KG,3.28
AGR063,AGREGADO DE RIO- MEZCLA. SIN TRANSPORTE ,2.18
AGR064,AGREGADOS SIN TRANSP P/MEZCLA ASFALTICA ,52.91
AGR065,AGREGADOS SIN TRANSP P/MEZCLA ASFALTICA ,60.63
AGR066,"PIEDRA DE RIO O MINA, EN SITIO DE EXPLOT",13.22
AGR067,GRANZON NATURAL EN SITIO DE SAQUE,6.62
AGR068,GRAVA EN SITIO DE EXPLOTACION,13.22
AGR069,ARENA DE RIO O MINA CON EVENTUAL CERNIDO,18.73
AGR070,ARENA DE RIO- MINA EN SITIO DE EXPLOTACI,18.73
AGR071,PIEDRA ORNAMENTAL CANTO RODADO PEQUEÑO,8.61
AGR072,MATERIAL GRADADO PARA FILTRO,16.5
AGR073,ARENA SILICE SECA  AL HORNO P/SAND BLAST,0.21
AGR074,SUELO PARA BASES ASFALTICAS,20.91
AGR075,SUELO PARA SUB-BASES ASFALTICAS,19.84
AGR076,SUELO PARA BASES DE SUELO CEMENTO,16.5
AGR077,SUELO PARA SUB-BASES DE SUELO CEMENTO,16.5
AGR078,SUELO PARA SUB-BASES DE SUELO CAL,18.73
AGR079,SUELO PARA BASES DE SUELO CAL,16.5
AGR080,ARENA CERNIDA EN SACO / BOLSA#,2.84
AGR081,PIEDRA PICADA PARA CONCRETO,45.17
AGR082,GRAVILLA - PIEDRA SACO / BOLSA X 10 KG,9.88
AGR083,"C/BASE DE ARENA RIO P/FUNDACION, ZANJAS ",44.07
AGR084,SUM/COLOCACION BASE PIEDRA PICADA FUNDAC,66.14
AGR085,BASE DE ARENA LAVADA P/FUNDACIONES Y ZAN,34.15
AGR086,ANTRACITA (FILTRO DE PARTICULAS),355.17
AGR087,ARROCILLO EN SACO DE 15 KGS,2.72
AGR088,AGUA P/USO RESIDENCIAL CAMION CISTERNA 5,44.07
AGR089,PIEDRA PICADA EN PLANTA. ZULIA SIN TRANS,27.55
AGU001,ANALISIS FISICO QUIMICO DEL AGUA,6.73
APA001,BEBEDERO SIMPLE DE AGUA SIN ENFRIADOR,19.84
APA002,BOMBA CENTRIFUGA 2 HP \,666.72
APA003,"BOMBA CENTRIFUGA, CONEXIONES. 3/4"" HP",259
APA004,CALENTADOR ELECTRICO RECORD 35 LTS O SIM,252.39
APA005,BOMBA CENTRIFUGA 10 HP \,2975.36
APA006,PUNTA GUIA 4J865 REEMPLAZO P/MOTOTRAILLA,330.58
APA007,SISTEMA HIDRONEUMATICO DUPLEX 82 GAL 1 H,1107.5
APA008,COSTO ASOCIADO DE TRANSPORTE &U,0.21
APA009,CALENTADOR ELECTRICO RECORD 40 LTS O SIM,279.92
APA010,CALENTADOR ELECTRICO RECORD R/F 50 LTS O,407.74
APA011,CALENTADOR ELECTRICO THERMOCL. 30 LTS O ,177.44
APA012,CALENTADOR ELECTRICO THERMOCL. 50 LTS O ,418.76
APA013,CALENTADOR ELECTRICO RECORD 120 LTS O SI,473.87
APA014,CALENTADOR ELECTRICO RECORD 200 LTS O SI,543.28
APA015,CENTRAL TELEF. PANASONIC KX-T30810 3 LIN,716.28
APA016,TELEF. PANASONIC KX-T700 12 LINEAS/ PROP,22.02
APA017,CALENTADOR ELECTRICO RECORD 80 LTS O SIM,429.76
APA018,CALENTADOR ELECTRICO RECORD 100 LTS O SI,429.76
APA019,BEBEDERO DE AGUA TIPO FUENTE CON ENFRIAD,661.2
APA020,BOMBA DOSIFICADORA MARCA ADVANCE C-480 O,2469.56
APA021,BEBEDERO/DISPENSADOR ENFRIADOR BOTELLON,585.17
APA022,BOMBA CENTRIFUGA SUMERGIBLE 25 HP \,6942.54
APA023,"BOMBA SUMERG. 3 ETAP DESC. 4"" 15 HP 3F 6",4297.76
APA024,TABLERO ARRANQUE-CONT. P/BOMBA SUMERG 15,1098.68
APA025,MANOMETRO RANGO 0-200 PSI,22.02
APA026,CABLE COBRE C/AISLAMIENTO GOMA ST 3X10 0,7.74
APA027,CABLE PARA PINZA ELECTRODOS SOLDAR 2/0-0,20.05
APA028,"TAPA SANITARIA 10"" X 4""",1.08
APA029,"ABRAZADERA REFORZADA 4""",6.62
APA030,BOMBA SUMERG. KSB UPH 293 25 HP 3 ETAPAS,4771.61
APA031,"BOMBA SUMERGIBLE TIPO FLYGT 5HP, 1750 RP",3704.89
APA032,TABLERO DE CONTROL CIRCUITOS/TAB M.G.R. ,235.82
APA033,BOMBA CENTRIFUGA 1 1/2 HP \,425.37
APA034,TABLERO ARRANQUE CONT P/BOMBA CENTR. 10H,2292.14
APA035,BOMBA BOMBAGUA 6L6-12 30 HP 230V 12 ETAP,6722.12
APA036,"BOMBA CENTRIFUGA 4.7 LPS 5 HP 1 1/2"" 350",991.78
APA037,"ABRAZADERA TIPO U / OMEGA NORMAL D= 3""",2.61
APA038,"ABRAZADERA TIPO U / OMEGA NORMAL D= 2""",2.18
APA039,"ABRAZADERA TIPO U / OMEGA NORMAL D= 6""",5.54
APA040,"ABRAZADERA TIPO U / OMEGA NORMAL D= 4""",3.28
APA041,BOMBA PRESION CONSTANTE P/PLOMERIA \,275.51
APA042,BOMBA CENTRIFUGA 1 HP \,339.38
APA043,JUEGO DE DIENTES COMPLETOS (144),60.63
APA044,JUEGO DE DIENTES COMPLETOS (86),47.38
APA045,DIENTES CORTADORES PARA CONCRETO/ASFALTO,55.1
APA046,PORTA DIENTE P/PERFILADORA DE ASFALTO,49.54
APA047,DIENTE COMPLETO-PERFILADORA ASFALTO,57.34
APA048,PORTA DIENTE-PERFILADORA ASFALTO,63.93
APA049,DIENTE COMPLETO-PERFILADORA ASFALTO,66.14
APA050,PUNTA DE MARTILLO,33.09
APA051,CALENTADOR A GAS PASO CONTINUO 11 LT/MIN,556.52
APA052,"DISCO DIAMANTE D=16"" PARA CORTE DE CONCR",330.58
APA053,BARRA DE ACERO P/ PERFORACION,7.69
APA054,"BROCA DE PERFORACION, DIAMETRO = 4 1/2 """,31.95
APA055,"GUIA DE 3 """,0.32
APA056,"BROCA DE PERFORACION, DIAMETRO = 2 """,13.22
APA057,"BARRA ACERO TENSIDOR DE 1""",4.41
APA058,CABEZAL DE ACERO CON 3 CUÑAS,16.5
APA059,CABEZAL DE ACERO CON 4 CUÑAS,22.02
APA060,CABEZAL DE ACERO CON 5 CUÑAS,27.55
APA061,CABEZAL DE ACERO CON 6 CUÑAS,33.09
APA062,BEBEDERO DISPENSADOR C/ENFRIADOR BOTELLO,661.2
APA063,BEBEDERO C/ENFRIADOR T/FUENTE ACERO INOX,573.04
APA064,CERCA ELECTRICA 5 HILOS/ENERGIZADOR/SIRE,12.36
APA065,BALANZA SP-036,495.91
APA066,BALANZA SP-100 2000 KG\,2203.96
APA067,BALANZA SP-120 2000 KG\,2203.96
APA068,BALANZA SP-144 2000 KG\,2203.96
APA069,BALANZA SP-150 6000 KG\,6611.93
APA070,BALANZA SP-180 6000 KG\,6611.93
APA071,BALANZA SP-240 6000 KG\,6611.93
APA072,BALANZA SP-370 6000 KG\,6611.93
APA073,BALANZA SP-400 10000 KG\,110199
APA074,BALANZA SP-576 10000 KG\,110199
APA075,BALANZA BC-170 1500 KG PORTATIL,1873.37
APA076,PUNTA DE MARTILLO DE PENETRACION,25.36
APA077,PUNTA DE MARTILLO TIPO CINCEL,8.81
APA078,PUNTA DE MARTILLO DE ACERO,77.13
APA079,PUNTA DE MARTILLO ALTA RESISTENCIA,15.4
APA080,"BROCA DE 2.5"" (DESGASTE)",11.02
APA081,"DISCO DIAMANTE D=14"" PARA CORTE DE CONCR",220.4
APA082,"DISCO DIAMANTE D=14"" PARA CORTE DE ASFAL",220.4
APA083,CALENTADOR ELECTRICO PASO CONTINUO 8 LT/,440.79
APA084,PROTECCION UPS SENCILLO PARA PC O SIMILA,132.23
APA085,"BROCA DE 3"" (DESGASTE)",13.22
APA086,BOMBA CENTRIFUGA 20 HP \,5247.66
APA087,TANQUE HORIZONTAL 3500 GALONES (PULMON),3902.13
APA088,CAJA PARA UNIDAD DE MEDICION DE GAS,16.5
APA089,TERMOSTATO RESISTENCIA P/CALENTADOR ELEC,42.94
APA090,TERMOMETRO INDICADOR P/CALENTADOR ELECTR,17.43
APA091,"BROCA DE 4"" (DESGASTE)",17.64
APA092,DESGASTE DE MECHA O BROCA,11.02
APA093,MECHA CINCEL PLOGA NEUMATICA,132.23
APA094,CINCELES NEUMATICOS JGO,220.4
APA095,MECHA ESPECIAL / BROCA PARA CONCRETO,110.19
ARB001,ARBUSTOS ORNAMENTALES P/SIEMBRA /PLANTA,3.28
ARB002,BOTE DE MALEZA Y/O ESCOMBROS MAX 1 CAMIO,44.07
ARB003,FAJINA DE MADERA O SIMILAR,0.42
ARB004,"GRAMA EN SACO (1,5 M2/SACO)",6.62
ARB005,BOTE DE RAMAS VEGETACION DESECHOS (CAMIO,20.91
ARB006,SUBE Y BAJA 2 UNID. 4 ASIENTOS (PARQUE),1258.48
ARB007,MANGUERA PARA RIEGO,2.28
ARB008,PLANTAS ORNAMENTALES / ARBUSTOS,2.96
ARB009,ACACIA PARA SIEMBRA / PLANTA-ARBUSTO MED,22.02
ARB010,CICATRIZANTE PARA CORTES DE RAMAS,1.08
ARB011,ALQUITRAN VEGETAL (1 LT APROXIMADAMENTE),97.98
ARB012,CARACUEY / PLANTA-ARBUSTO,5.54
ARB013,MANTENIMIENTO DE ARBORIZACION C/MES,0.21
ARB014,"PALMA - PALMERA (PLANTA/ARBUSTO) <1,5 M",27.55
ARB015,MANTENIMIENTO RIEGO-ARBORIZACION C/MES,0.11
