CodMat,Descri,CosMat
ACA082,"LAMINA DE FORMICA COLOR GRUESA 1,22 X 2,",58.41
ACA083,PLYCEM GEL O SIM. + GUANTES DESEHCABLES,13.43
ACA084,CINTA P/PLYCEM/FIBROCEMENTO 150 PIES IMP,9.88
ACA085,"LAMINA PLYCEM FIBROCEMENTO C/VINYL 0,6X1",8.71
ACA086,"LAMINA PLYCEM 4' X8'X20MM-1,22X2,44M FIB",107.91
ACA087,"LAMINA PLYCEM 3,05 X1,22MX17MM FIBROCEME",122.04
ACA088,LAMINA PLYCEM 4' X 8' X 6MM FIBROCEMENTO,42.26
ACA089,LAMINA PLYCEM 4' X 10' X 20MM FIBROCEM O,137.12
ACA090,LAMINA PLYCEM 4' X 8' X 17 MM FIBROCEM O,93.88
CON215,MORTERO DE CEMENTO,189.55
ACA091,LAMINA PLYCEM 2' X 2' X 6 MM FIBROCEMENT,4.24
ACA092,LAMINA PLYCEM PINTADA 2' X 4'  FIBROCEME,17.44
ACA093,LAMINA PLYCEM  2' X 4'  FIBROCEMENTO 6 M,9.87
ACA094,LAMINA PLYCEM TEXTURIZADO 2' X4'  FIBROC,12.04
ACA095,LAMINA PLYCEM 4' X 8' X 8MM  FIBROCEMENT,53.61
ACA096,LAMINA PLYCEM 4' X 8' X 10MM FIBROCEMENT,66.98
ACA097,LAMINA PLYCEM 4' X 8' X 11MM  FIBROCEMEN,87.31
ACA098,LAMINA PLYCEM 4' X10' X11MM FIBROCEMENTO,104.64
ACA099,"BOCA DE VISITA PLASTICA 0,36 X 0,36 M 14",26.45
ACA100,SEPARADOR P/BLOQUE/LADRILLO DE VIDRIO,0.16
ACA101,"BOCA DE VISITA PLASTICA 0,36 X 0,75 M 14",48.45
ACA102,MARCO P/PUERTA ALUMINIO DERECHO 0.80 MT,96.98
ACA103,LADRILLO ARCILLA MACIZO DE ARCILLA 6 X 1,1.29
ACA104,"PARAL STUD METALICO 1 5/8"" X2.44-8' CAL2",5.86
ACA105,"RIEL/TRACK CANAL METALICO 1 5/8"" X 3.05 ",4.3
ACA106,"LAMINA FORMICA ACABADO ALUMINIO O SIM 1,",72.76
ACA107,MARCO P/PUERTA ALUMINIO IZQUIERDO 0.80,60.63
ACA108,MARCO P/PUERTA  ALUMINIO DERECHO 0.90,98.09
ACA109,MARCO P/PUERTA ALUMINIO IZQUIERDO 0.90,59.52
ACA110,MARCO DE HIERRO DERECHO P/PUERTA 0.70 X ,86.03
ACA111,MARCO DE HIERRO DERECHO P/PUERTA 0.80 X ,87
ACA112,MARCO DE MADERA  P/PUERTA 0.80 X 2.10 MT,95.87
ACA113,"RAMPLUG PLASTICO 1/2"" COLOR GRIS",0.11
ACA114,MARCO DE HIERRO DERECHO P/PUERTA 0.90 X ,108.05
ACA115,"REBORDE PLASTICO 1/2"" X 8'",4.41
ACA116,"REBORDE PLASTICO 3/8"" X 8'",4.08
ACA117,"ESQUINERO PLASTICO FLEXIBLE 10' / 3,05 M",6.62
ACA118,"REBORDE 1/2"" X  1/2""  2.44 METALICO P/DR",5.54
ACA119,ACABADOS Y FRISO,5.54
ACA120,CINTA PAPEL REFORZADA IMP. 100'/30M DRY ,13.11
ACA121,"TORNILLO P/TABIQUES DRY WALL 7 X 7/16"" R",0.06
ACA122,"TORNILLO P/TABIQUES DRYWALL 6 X 1""",0.03
ACA123,"TORNILLO P/TABIQUES DRY WALL 6 X 1 5/8""",0.11
ACA124,PUNTILLAS DE ACERO,5.97
ACA125,ELEMENTOS - MATERIALES DE SUSPENSION,0.53
ACA126,MATERIAL DE FIJACION,0.21
ACA127,MATERIALES PARA ACABADO Y REMATE,1.08
ACA128,"LAMINA FIBRA VIDRIO PLAFOND 1,20 X 0,60M",7.69
ACA129,CINTA DE PAPEL 250'/76M DRY WALL NACIONA,7.69
ACA130,"LAMINA DE FORMICA BLANCO BRILLANTE 1,22 ",41.85
ACA131,"LAMINA DE FORMICA MATE 1,22 X 2,44",38.58
ACA132,"LAMINA DE FORMICA BLANCO MATE 1.22 X 2,4",40.77
ACA133,PASTA PROFESIONAL / MASTIQUE,16.5
ACA134,MATERIALES PARA FRISO (INT- EXT),0.32
ACA135,BASE DE BLOQUE PARA LAVAMANOS,132.23
ACA136,CINTA DE CARTON 500'/152M DRY WALL NACIO,8.58
ACA137,"CINTA FIBRA DE VIDRIO E=2"" PARA TABIQUES",44.07
ACA138,"RAMPLUG HIERRO 5/16"" TIPO MARIPOSA",2.72
ACA139,"RAMPLUG HIERRO 3/8"" DE EXPANSION",3.28
ACA140,"DISCO PARA ESMERIL 4 1/2"" X 1/4",7.38
ACA141,DISCO DE ESMERIL PARA CORTAR CONCRETO,13.22
ACA142,"RIEL GUIA DE ACERO 3,52 KG/M",6.62
ACA143,MATERIALES PARA FIJACION,0.53
ACA144,"ESQUINERO METALICO 1 1/4"" X 3,05 M - DRY",3.28
ACA145,ACABADOS,11.02
ACA146,FLEJES DE PLASTICO P/PISO,2.18
ACA147,CIELO RASO INTERIOR COMPLETO (LIVIANO),18.73
ACA148,GRANITO GRIS (PIEDRAS) EN SACO#,20.91
ACA149,"RAMPLUG EXPANSION MECANICA D=3/4"" L=10""",7.15
ACA150,LAMINA FORMICA ACABADO METALICO ALUMINIO,72.97
ACA151,LAMINA FORMICA ACABADO METALICO BRONCE 1,73.85
ACA152,"TORNILLO, ARANDELA Y RAMPLUG",0.21
ACA153,"LAMINA FIBRA VIDRIO PLAFOND 0,6 X 0,60M ",4.41
ACA154,PERFIL ALUMINIO SECUNDARIO P/CIELO RASO ,1.44
ACA155,SANITARIOS Y ACABADOS,30.85
ACA156,TECHO PLYCEM ONDUL. TEJA 0.61X1.031 E=6.,11.03
ACA157,TECHO PLYCEM ONDUL.TEJA 1.22X1.031 E=6.8,20.81
ACA158,TECHO PLYCEM ONDUL.TEJA 1.53 X1.031 E=6.,26.14
ACA159,TECHO PLYCEM ONDUL.TEJA 1.83 X 1.031 E= ,37.45
ACA160,TECHO PLYCEM ONDUL.TEJA 2.13 X1.031 E= 6,38.52
ACA161,TECHO PLYCEM ONDUL.TEJA 2.44 X1.031 E=6.,44.1
ACA162,LAMINA PLYCEM 1.22 X0.61 E=6 MM FIBROCEM,11
ACA163,LAMINA PLYCEM 2.44 X1.22 E=6MM FIBROCEM.,38.67
ACE077,"TUBO ACERO-CARBONO COST D=1 1/2"" E=3,68M",31.3
ACE078,"TUBO ACERO-CARBONO 1"" E=3,38MM 2,50K/M S",19.02
ACE079,PERFIL ACERO IPN 12  - 11.10 KG/M,2.54
ACE080,PERFIL ACERO IPN 14 (14.3 K/M),2.41
ACE081,PERFIL ACERO IPN 300  (54.20 KG/M),2.45
ACE082,PERFIL ACERO IPN 8 (6.10 KG/M),16.69
ACE083,"ANGULO ACERO L 100 X 100 X 10 P=15,1 KG/",3.28
ACE084,ANGULO DE ACERO DE VARIAS DIMENSIONES,3.28
ACE085,ANGULO ACERO  L 75 X 75 X 8 (9 KG/M),4.41
ACE086,"BARRAS EN ACERO INOXIDABLE 1/2"" PESO:1 K",14.31
ACE087,PERFIL ACERO SIDOR IPN 180 MM X 84 MM,3.31
ACE088,PERFIL ACERO SIDOR IPN 200 MMX90 MM,2.92
ACE089,"PERFIL ACERO UPN 120 (13,4 KG/M)",3.28
ACE090,PERFILES ESTRUCTURALES DE ACERO,2.72
ACE091,PERFILES P/FIJACION DE PROTECCIONES EN A,16.5
ACE415,"PLETINA DE HIERRO 1 1/2"" X 3/16"" L=6 M 8",28.24
ACE416,"PLETINA DE HIERRO 2"" X 3/16"" L=6 MT 11.3",39.42
ACE417,"PLETINA DE HIERRO 1"" X 1/4"" L=6 M 7,6 K/",23.45
ACE418,"PLETINA DE HIERRO 2"" X 3/8"" L=6 M 11,4 K",35.15
ACE419,"PLETINA DE HIERRO 2"" X 1/2"" L=6 M 15,20 ",46.9
ACE420,ANGULO ACERO 150 X 150 X 12MM 27.3 K/M,3.28
ACE421,TUBO DE ACERO CUADRADO 200 X 200 X 5.5 M,2.8
ACE422,TUBO DE ACERO CUADRADO 200 X 200 X 7 MM ,2.69
ACE423,TUBO DE ACERO CUADRADO 220 X 220 X 7 MM ,2.69
ACE424,TUBO DE ACERO CUADRADO 260 X 260 X 9 MM ,2.72
ACE425,TUBO DE ACERO RECTANG. 300 X 100 X 5.5 M,2.62
ACE426,TUBO DE ACERO RECTANG. 300 X 100 X 7 MM ,2.62
ACE427,TUBO DE ACERO RECTANG. 320 X 120 X 7 MM ,2.72
ACE428,TUBO DE ACERO RECTANG. 350 X 170 X 9 MM ,2.62
ACE429,"PERFIL/TUBO CIRCULAR ACERO 3"" X 2,25 MM ",2.84
ACE769,"CABILLA*  S40 BAJA DENSIDAD D=1/4""  L= 6",2.18
ACE770,ACERO ESTRUCTURAL PARA TORRES,1.48
ACE771,ANCLAJE PARA ESTRUCTURA DE TORRES,44.07
ACE772,CABILLA ESTRIADA N60 VARIOS DIAMETROS-ME,1.97
ACE773,TORNILLERIA-PERNO ESTRUCTURAL A-325 C/TU,13.64
ACE774,TORNILLERIA.PERNO ESTRUCTURAL A-307 C/TU,13.64
ACE775,TORNILLERIA-PERNO ESTRUCTURAL A-307 C/TU,13.64
ACE776,"MALLA ACERO TRUCKSON ELECTROSOLDADA 4""X4",2.77
ACE777,"MALLA ACERO TRUCKSON ELECTROSOLDADA 6""X6",2.72
ACE778,"PERFIL ACERO HEB 240 - 83,2 KG/M",3.28
ACE779,PERFIL ACERO HEB 260 - 93 KG/M,3.28
ACE780,"PERNOS, ARANDELAS Y TUERCAS ESTRUCTURALE",13.01
ACE781,PLANCHA/LAMINA APOYO ACERO 250MM X250MM ,14.31
ACE782,PERFIL ACERO HEB 280 - 103 KG/M,3.28
ACE783,PERFIL ACERO HEB 300 - 117 KG/M,3.87
ACE902,"GUAYA DE ACERO D= 7/16"" 0,48 KG/M",6.62
ACE903,"GUAYA DE ACERO D= 5/8"" (15,9 MM) 1,08 KG",14.25
ACE904,"GUAYA DE ACERO D= 3/4"" (19,05 MM) 1,41 K",13.08
ACE905,"GUAYA DE ACERO D= 7/8"" (22,23 MM) 1,92 K",20.14
ACE906,"GUAYA DE ACERO D= 1"" (25,4 MM) 2,5 KG/M",24.79
ACE907,TUBO ACERO AL CARBONO C/COSTURA CC SCH 4,6.62
ACE908,"PERNO/RAMPLUG HILTI KB D=1/2"" X 3-3/4"" 9",6.62
ACE909,PERFIL DE ACERO PROPERCA O SIMILAR,2.61
ACE910,PERFIL SOPORTE ESCALERILLAS ACERO GALV A,3.28
ACE911,"PERFIL TUBO D= 2"" L= 3M ACERO GALVANIZAD",93.67
ACE912,PERFIL ACERO VP,2.72
ACE913,"CODO DE ACERO AL CARBONO 45 GRADOS D=8""",77.13
ACE914,"FLEJE ACERO INOX. 1/2"" X 0.22MM P/ATAR-E",2.18
ACE915,"FLEJE ACERO INOX. 1/2"" X 0.22MM P/ATAR-E",5.54
ACE916,"HEBILLA-SELLO ACERO INOX. 1/2"" P/FLEJE-E",0.7
ARC022,"BLOQUE TABELON ARCILLA 8 X 20 X 80 (6,20",2.31
ARC023,"BLOQUE* TABELON ARCILLA 8 X20X60 (8,33/M",2.31
ARC024,"BLOQUE TABELON ARCILLA 6 X 20 X 60 (8,33",2.31
ARC025,LADRILLO ARCILLA HUECO DOBLE 11X11X24,1.08
ARC026,LADRILLO MACIZO O.L DE ARCILLA 05X11X24,1.38
ARC027,LADRILLO CRIOLLITO MACIZO DE ARCILLA 03X,0.48
ARC028,LADRILLO ARCILLA PERFORADO DOBLE O.L 11X,0.42
